Date,Exchange,Segment,Debit Amount,Credit Amount,Group Name,Bill Number
23-07-2024,FON,FO,9714.99,0.0,Rolling,36793.0
22-07-2024,FON,FO,0.0,26.15,Rolling,39393.0
18-07-2024,FON,FO,0.0,11916.27,Rolling,34504.0
16-07-2024,FON,FO,7439.07,0.0,Rolling,64398.0
15-07-2024,FON,FO,33.02,0.0,Rolling,32444.0
11-07-2024,FON,FO,5689.72,0.0,Rolling,29181.0
10-07-2024,FON,FO,0.0,1608.83,Rolling,35585.0
09-07-2024,FON,FO,0.0,18283.34,Rolling,37207.0
08-07-2024,FON,FO,12030.68,0.0,Rolling,47052.0
05-07-2024,FON,FO,0.0,2135.99,Rolling,62271.0
04-07-2024,FON,FO,0.0,17.79,Rolling,40256.0
03-07-2024,FON,FO,5218.83,0.0,Rolling,38434.0
02-07-2024,FON,FO,0.0,2199.36,Rolling,55875.0
02-07-2024,BMF,MF,2000.0,0.0,Rolling,5349602.0
01-07-2024,FON,FO,0.0,798.94,Rolling,65385.0
28-06-2024,FON,FO,0.0,1148.88,Rolling,36307.0
27-06-2024,FON,FO,0.0,17523.91,Rolling,81345.0
26-06-2024,FON,FO,11010.54,0.0,Rolling,77019.0
25-06-2024,FON,FO,0.0,139.77,Rolling,77916.0
24-06-2024,FON,FO,0.0,259.85,Rolling,69170.0
21-06-2024,FON,FO,0.0,2527.51,Rolling,67974.0
20-06-2024,FON,FO,887.53,0.0,Rolling,80632.0
19-06-2024,FON,FO,0.0,900.08,Rolling,80034.0
18-06-2024,FON,FO,0.0,338.28,Rolling,64611.0
14-06-2024,FON,FO,0.0,29.56,Rolling,61323.0
13-06-2024,NSE,EQ,3003.13,0.0,,27301.0
13-06-2024,FON,FO,0.0,22.51,Rolling,73800.0
04-06-2024,NSE,EQ,2691.72,0.0,,51991.0
24-05-2024,BMF,MF,2000.0,0.0,Rolling,4918109.0
