Wallet,Trade Date,Settlement Date,Exchange,Segment,Type,Narration,Debit,Credit,Closing Balance
Securities,2024-04-03,2024-04-03,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for january 2024 to march 2024,88.5,,-354.0
Securities,2024-05-24,2024-05-24,FON,FO,Fund transfer,Funds added to your trading wallet,,500,146.0
Securities,2024-05-24,2024-05-27,BMF,MF,Order,BILL POSTING,,,146.0
Securities,2024-06-04,2024-06-04,FON,FO,Fund transfer,Funds added to your trading wallet,,20000,20146.0
Securities,2024-06-04,2024-06-05,NSE,EQ,Order,BILL POSTING,2691.72,,17454.28
Securities,2024-06-13,2024-06-14,FON,FO,Order,BILL POSTING,,22.51,17476.79
Securities,2024-06-13,2024-06-14,NSE,EQ,Order,BILL POSTING,3003.13,,14473.66
Securities,2024-06-14,2024-06-18,FON,FO,Order,BILL POSTING,,29.56,14503.22
Securities,2024-06-18,2024-06-19,FON,FO,Order,BILL POSTING,,338.28,14841.5
Securities,2024-06-19,2024-06-20,FON,FO,Order,BILL POSTING,,900.08,15741.58
Securities,2024-06-20,2024-06-21,FON,FO,Order,BILL POSTING,887.53,,14854.05
Securities,2024-06-21,2024-06-24,FON,FO,Order,BILL POSTING,,2527.51,17381.56
Securities,2024-06-24,2024-06-25,FON,FO,Order,BILL POSTING,,259.85,17641.41
Securities,2024-06-25,2024-06-26,FON,FO,Order,BILL POSTING,,139.77,17781.18
Securities,2024-06-26,2024-06-27,FON,FO,Order,BILL POSTING,11010.54,,6770.64
Securities,2024-06-27,2024-06-28,FON,FO,Order,BILL POSTING,,17523.91,24294.55
Securities,2024-06-28,2024-07-01,FON,FO,Order,BILL POSTING,,1148.88,25443.43
Securities,2024-07-01,2024-07-02,FON,FO,Order,BILL POSTING,,798.94,26242.37
Securities,2024-07-02,2024-07-03,FON,FO,Order,BILL POSTING,,2199.36,28441.73
Securities,2024-07-02,2024-07-03,BMF,MF,Order,BILL POSTING,,,28441.73
Securities,2024-07-03,2024-07-03,NSE,EQ,Demat quaterly maintenance charges,Demat quaterly maintenance charges for april 2024 to june 2024,88.5,,28353.23
Securities,2024-07-03,2024-07-04,FON,FO,Order,BILL POSTING,5218.83,,23134.4
Securities,2024-07-03,2024-07-03,FON,FO,Withdrawal processed,Amount credited to registered bank account via our standard withdrawal process,10000,,13134.4
Securities,2024-07-04,2024-07-05,FON,FO,Order,BILL POSTING,,17.79,13152.19
Securities,2024-07-05,2024-07-08,FON,FO,Order,BILL POSTING,,2135.99,15288.18
Securities,2024-07-05,2024-07-06,FON,FO,Quarterly settlement,Amount credited to registered bank account for quarterly settlement (july 2024 to september 2024),13152.19,,2135.99
Securities,2024-07-06,2024-07-06,FON,FO,Fund transfer,Funds added to your trading wallet,,13152.19,15288.18
Securities,2024-07-08,2024-07-09,FON,FO,Order,BILL POSTING,12030.68,,3257.5
Securities,2024-07-09,2024-07-10,FON,FO,Order,BILL POSTING,,18283.34,21540.84
Securities,2024-07-10,2024-07-11,FON,FO,Order,BILL POSTING,,1608.83,23149.67
Securities,2024-07-11,2024-07-12,FON,FO,Order,BILL POSTING,5689.72,,17459.95
Securities,2024-07-15,2024-07-16,FON,FO,Order,BILL POSTING,33.02,,17426.93
Securities,2024-07-16,2024-07-18,FON,FO,Order,BILL POSTING,7439.07,,9987.86
Securities,2024-07-18,2024-07-19,FON,FO,Order,BILL POSTING,,11916.27,21904.13
Securities,2024-07-22,2024-07-23,FON,FO,Order,BILL POSTING,,26.15,21930.28
Securities,2024-07-23,2024-07-24,FON,FO,Order,BILL POSTING,9714.99,,12215.29
