date,open,high,low,close,volume,dividends,stock_splits
2022-04-01 00:00:00+05:30,101.42,101.42,96.71,101.42,379975,0.0,0.0
2022-04-04 00:00:00+05:30,105.14,105.59,97.7,99.09,817182,0.0,0.0
2022-04-05 00:00:00+05:30,94.82,100.18,94.18,97.6,449514,0.0,0.0
2022-04-06 00:00:00+05:30,102.46,102.46,99.29,102.46,228449,0.0,0.0
2022-04-07 00:00:00+05:30,107.57,107.57,104.15,107.57,290649,0.0,0.0
2022-04-08 00:00:00+05:30,107.02,107.12,102.21,102.76,474066,0.0,0.0
2022-04-11 00:00:00+05:30,99.19,100.18,97.65,97.65,471079,0.0,0.0
2022-04-12 00:00:00+05:30,92.84,101.12,92.84,98.39,415597,0.0,0.0
2022-04-13 00:00:00+05:30,100.58,101.07,93.48,94.87,335792,0.0,0.0
2022-04-18 00:00:00+05:30,93.63,93.63,90.16,90.16,212162,0.0,0.0
2022-04-19 00:00:00+05:30,86.34,94.03,85.7,88.13,282466,0.0,0.0
2022-04-20 00:00:00+05:30,92.49,92.49,90.26,91.2,176001,0.0,0.0
2022-04-21 00:00:00+05:30,91.9,92.15,87.34,91.25,82106,0.0,0.0
2022-04-22 00:00:00+05:30,88.97,90.81,86.69,86.94,511139,0.0,0.0
2022-04-25 00:00:00+05:30,82.62,82.62,82.62,82.62,167352,0.0,0.0
2022-04-26 00:00:00+05:30,78.51,86.29,78.51,79.6,592048,0.0,0.0
2022-04-27 00:00:00+05:30,75.88,79.0,75.63,75.68,734747,0.0,0.0
2022-04-28 00:00:00+05:30,77.96,79.45,75.43,79.45,446982,0.0,0.0
2022-04-29 00:00:00+05:30,83.42,83.42,81.38,83.42,680383,0.0,0.0
