date,open,high,low,close,volume,dividends,stock_splits
2021-02-01 00:00:00+05:30,365.26,375.37,363.89,369.38,639305,0.0,0.0
2021-02-02 00:00:00+05:30,375.08,401.54,371.79,397.81,1499601,0.0,0.0
2021-02-03 00:00:00+05:30,402.57,411.56,395.31,403.85,1023770,0.0,0.0
2021-02-04 00:00:00+05:30,407.68,416.27,403.95,410.92,685406,0.0,0.0
2021-02-05 00:00:00+05:30,416.32,419.17,402.18,403.41,658799,0.0,0.0
2021-02-08 00:00:00+05:30,410.23,414.26,401.59,402.87,803027,0.0,0.0
2021-02-09 00:00:00+05:30,405.52,406.21,387.84,389.95,734358,0.0,0.0
2021-02-10 00:00:00+05:30,391.72,391.77,379.25,382.25,680537,0.0,0.0
2021-02-11 00:00:00+05:30,382.44,386.86,379.2,380.19,445939,0.0,0.0
2021-02-12 00:00:00+05:30,382.93,389.71,380.87,384.01,698854,0.0,0.0
2021-02-15 00:00:00+05:30,384.9,388.29,379.84,385.0,302556,0.0,0.0
2021-02-16 00:00:00+05:30,384.65,386.42,374.69,377.34,464991,0.0,0.0
2021-02-17 00:00:00+05:30,375.57,380.87,373.31,377.98,372380,0.0,0.0
2021-02-18 00:00:00+05:30,379.01,402.57,374.93,398.45,1136869,0.0,0.0
2021-02-19 00:00:00+05:30,399.28,411.26,392.75,396.19,808501,0.0,0.0
2021-02-22 00:00:00+05:30,399.28,399.28,386.47,388.09,300877,0.0,0.0
2021-02-23 00:00:00+05:30,387.84,408.41,387.6,397.96,876903,0.0,0.0
2021-02-24 00:00:00+05:30,401.0,404.98,395.21,398.99,234201,0.0,0.0
2021-02-25 00:00:00+05:30,400.22,404.05,395.7,400.85,316326,0.0,0.0
2021-02-26 00:00:00+05:30,394.72,400.46,389.17,392.9,470941,0.0,0.0
