date,open,high,low,close,volume,dividends,stock_splits
2023-07-07 00:00:00+05:30,250.37,250.37,242.5,246.83,156871,0.0,0.0
2023-07-10 00:00:00+05:30,248.08,252.06,246.09,250.12,144355,0.0,0.0
2023-07-14 00:00:00+05:30,251.86,256.45,250.77,253.41,263830,0.0,0.0
2023-07-17 00:00:00+05:30,254.11,254.8,247.08,247.63,270282,0.0,0.0
2023-07-19 00:00:00+05:30,247.58,248.78,244.99,247.73,170136,0.0,0.0
2023-07-20 00:00:00+05:30,247.78,250.57,246.24,250.12,116927,0.0,0.0
2023-07-21 00:00:00+05:30,249.77,253.76,248.33,250.77,227539,0.0,0.0
2023-07-24 00:00:00+05:30,252.06,252.51,248.28,250.72,180126,0.0,0.0
2023-07-26 00:00:00+05:30,249.07,251.57,249.07,251.12,68457,0.0,0.0
2023-07-28 00:00:00+05:30,255.05,255.95,245.69,250.22,456416,0.0,0.0
