date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-07-01 00:00:00+05:30,2.9,2.9,2.79,2.8,3165101.0,0.0,0.0,
2025-07-02 00:00:00+05:30,2.81,2.83,2.73,2.74,4493285.0,0.0,0.0,
2025-07-03 00:00:00+05:30,2.77,3.05,2.7,2.89,6700283.0,0.0,0.0,
2025-07-04 00:00:00+05:30,2.95,2.95,2.84,2.88,5425138.0,0.0,0.0,
2025-07-07 00:00:00+05:30,2.88,2.91,2.83,2.84,2757925.0,0.0,0.0,
2025-07-08 00:00:00+05:30,2.81,2.87,2.79,2.81,2619042.0,0.0,0.0,
2025-07-09 00:00:00+05:30,2.81,2.82,2.78,2.79,1916506.0,0.0,0.0,
2025-07-10 00:00:00+05:30,2.8,2.83,2.76,2.79,2485975.0,0.0,0.0,
2025-07-11 00:00:00+05:30,2.83,2.83,2.74,2.74,2212072.0,0.0,0.0,
2025-07-14 00:00:00+05:30,2.74,2.77,2.7,2.73,2353487.0,0.0,0.0,
2025-07-15 00:00:00+05:30,2.77,2.8,2.74,2.74,1452334.0,0.0,0.0,
2025-07-16 00:00:00+05:30,2.77,2.79,2.73,2.76,2195236.0,0.0,0.0,
2025-07-17 00:00:00+05:30,2.76,2.79,2.74,2.75,1302322.0,0.0,0.0,
2025-07-18 00:00:00+05:30,2.76,2.78,2.71,2.74,1671506.0,0.0,0.0,
2025-07-21 00:00:00+05:30,2.77,2.79,2.71,2.72,1215464.0,0.0,0.0,
2025-07-22 00:00:00+05:30,2.73,2.76,2.67,2.71,3156451.0,0.0,0.0,
2025-07-23 00:00:00+05:30,2.71,2.74,2.68,2.7,3104395.0,0.0,0.0,
2025-07-24 00:00:00+05:30,2.73,2.74,2.69,2.69,1563861.0,0.0,0.0,
2025-07-25 00:00:00+05:30,2.69,2.71,2.6,2.62,2269509.0,0.0,0.0,
2025-07-28 00:00:00+05:30,2.6,2.61,2.53,2.55,4498594.0,0.0,0.0,
2025-07-29 00:00:00+05:30,2.56,2.61,2.55,2.59,1566892.0,0.0,0.0,
2025-07-30 00:00:00+05:30,2.57,2.61,2.55,2.55,1099546.0,0.0,0.0,
