date,open,high,low,close,volume,dividends,stock_splits
2024-01-01 00:00:00+05:30,4.15,4.4,4.15,4.25,13745287,0.0,0.0
2024-01-02 00:00:00+05:30,4.3,4.45,4.15,4.25,15351551,0.0,0.0
2024-01-03 00:00:00+05:30,4.25,4.35,4.25,4.25,10988677,0.0,0.0
2024-01-04 00:00:00+05:30,4.3,4.65,4.25,4.6,54931291,0.0,0.0
2024-01-05 00:00:00+05:30,4.65,4.85,4.5,4.55,22101233,0.0,0.0
2024-01-08 00:00:00+05:30,4.65,4.7,4.5,4.55,22715829,0.0,0.0
2024-01-09 00:00:00+05:30,4.65,4.65,4.5,4.55,10380186,0.0,0.0
2024-01-10 00:00:00+05:30,4.6,4.6,4.4,4.45,8635530,0.0,0.0
2024-01-11 00:00:00+05:30,4.5,4.55,4.45,4.45,6331217,0.0,0.0
2024-01-12 00:00:00+05:30,4.5,4.85,4.45,4.85,33082618,0.0,0.0
2024-01-15 00:00:00+05:30,5.2,5.3,5.0,5.3,69777344,0.0,0.0
2024-01-16 00:00:00+05:30,5.45,5.6,4.9,5.1,63127735,0.0,0.0
2024-01-17 00:00:00+05:30,5.0,5.3,4.85,5.1,32608603,0.0,0.0
2024-01-18 00:00:00+05:30,5.1,5.25,4.75,5.15,29406921,0.0,0.0
2024-01-19 00:00:00+05:30,5.2,5.3,5.0,5.05,24184529,0.0,0.0
2024-01-23 00:00:00+05:30,5.1,5.15,4.8,4.85,26739091,0.0,0.0
2024-01-24 00:00:00+05:30,4.85,4.95,4.8,4.85,17489896,0.0,0.0
2024-01-25 00:00:00+05:30,4.9,4.9,4.8,4.8,9566813,0.0,0.0
2024-01-29 00:00:00+05:30,4.85,5.1,4.8,5.0,26132266,0.0,0.0
2024-01-30 00:00:00+05:30,5.05,5.1,4.85,4.9,18492836,0.0,0.0
