date,open,high,low,close,volume,dividends,stock_splits
2024-01-01 00:00:00+05:30,152.0,175.95,152.0,175.95,88136,0.0,0.0
2024-01-02 00:00:00+05:30,185.0,211.1,185.0,211.1,87125,0.0,0.0
2024-01-03 00:00:00+05:30,222.95,232.2,215.0,232.15,168291,0.0,0.0
2024-01-04 00:00:00+05:30,244.0,255.35,243.95,255.35,56359,0.0,0.0
2024-01-05 00:00:00+05:30,264.0,268.1,260.5,268.1,33081,0.0,0.0
2024-01-08 00:00:00+05:30,280.05,281.5,280.0,281.5,12685,0.0,0.0
2024-01-09 00:00:00+05:30,295.55,295.55,295.55,295.55,11282,0.0,0.0
2024-01-10 00:00:00+05:30,310.0,310.3,280.8,280.8,20477,0.0,0.0
2024-01-11 00:00:00+05:30,266.8,266.8,266.8,266.8,7250,0.0,0.0
2024-01-12 00:00:00+05:30,253.5,253.5,253.5,253.5,5840,0.0,0.0
2024-01-15 00:00:00+05:30,240.85,253.5,240.85,240.85,57056,0.0,0.0
2024-01-16 00:00:00+05:30,228.85,228.85,228.85,228.85,7156,0.0,0.0
2024-01-17 00:00:00+05:30,217.45,217.45,217.45,217.45,4661,0.0,0.0
2024-01-18 00:00:00+05:30,206.6,228.3,206.6,228.3,72640,0.0,0.0
2024-01-19 00:00:00+05:30,234.95,239.7,218.0,224.15,60125,0.0,0.0
2024-01-23 00:00:00+05:30,217.5,227.3,217.5,227.15,32756,0.0,0.0
2024-01-24 00:00:00+05:30,235.8,238.5,216.05,238.5,35789,0.0,0.0
2024-01-25 00:00:00+05:30,238.0,238.5,230.0,237.55,18231,0.0,0.0
2024-01-29 00:00:00+05:30,237.55,249.4,237.55,249.4,18921,0.0,0.0
2024-01-30 00:00:00+05:30,261.85,261.85,261.85,261.85,10534,0.0,0.0
