date,open,high,low,close,volume,dividends,stock_splits
2021-03-05 00:00:00+05:30,890.56,935.08,788.19,804.07,16523452,0.0,0.0
2021-03-08 00:00:00+05:30,817.33,828.17,728.28,741.64,4061558,0.0,0.0
2021-03-09 00:00:00+05:30,748.12,789.63,723.53,779.73,2938791,0.0,0.0
2021-03-10 00:00:00+05:30,780.72,793.54,762.17,781.46,1298178,0.0,0.0
2021-03-12 00:00:00+05:30,791.61,795.56,750.15,753.76,652564,0.0,0.0
2021-03-15 00:00:00+05:30,752.92,755.64,698.1,700.08,868752,0.0,0.0
2021-03-16 00:00:00+05:30,707.3,717.19,688.05,692.51,525679,0.0,0.0
2021-03-17 00:00:00+05:30,686.72,689.88,646.2,653.12,706047,0.0,0.0
2021-03-18 00:00:00+05:30,655.85,664.95,620.47,628.19,791769,0.0,0.0
2021-03-19 00:00:00+05:30,623.19,643.08,620.92,632.69,776461,0.0,0.0
2021-03-22 00:00:00+05:30,633.28,661.63,626.41,635.31,474231,0.0,0.0
2021-03-23 00:00:00+05:30,639.27,654.01,633.28,635.76,370317,0.0,0.0
2021-03-24 00:00:00+05:30,628.34,640.21,625.02,626.7,369566,0.0,0.0
2021-03-25 00:00:00+05:30,623.59,634.18,620.42,622.35,504307,0.0,0.0
2021-03-26 00:00:00+05:30,631.31,634.27,621.61,623.74,293864,0.0,0.0
2021-03-30 00:00:00+05:30,630.32,642.19,620.62,623.83,359233,0.0,0.0
