date,open,high,low,close,volume,dividends,stock_splits
2022-04-01 00:00:00+05:30,78.3,81.53,78.3,80.54,3236132,0.0,0.0
2022-04-04 00:00:00+05:30,81.38,82.23,79.94,81.53,2340565,0.0,0.0
2022-04-05 00:00:00+05:30,82.18,84.47,81.23,81.83,1733523,0.0,0.0
2022-04-06 00:00:00+05:30,82.13,84.02,81.48,83.12,1459473,0.0,0.0
2022-04-07 00:00:00+05:30,83.57,85.81,79.0,79.54,2781085,0.0,0.0
2022-04-08 00:00:00+05:30,80.44,81.88,80.14,80.54,2431254,0.0,0.0
2022-04-11 00:00:00+05:30,81.08,82.48,80.49,80.94,1433873,0.0,0.0
2022-04-12 00:00:00+05:30,80.84,81.58,77.85,78.65,1812637,0.0,0.0
2022-04-13 00:00:00+05:30,79.19,80.89,78.9,80.24,2298135,0.0,0.0
2022-04-18 00:00:00+05:30,79.34,79.84,77.8,78.15,2188933,0.0,0.0
2022-04-19 00:00:00+05:30,78.25,79.39,74.52,76.31,1160103,0.0,0.0
2022-04-20 00:00:00+05:30,76.96,78.6,76.56,77.35,1716996,0.0,0.0
2022-04-21 00:00:00+05:30,78.35,79.14,76.61,76.91,734129,0.0,0.0
2022-04-22 00:00:00+05:30,76.71,78.55,76.21,76.86,1145098,0.0,0.0
2022-04-25 00:00:00+05:30,75.36,76.06,74.27,74.67,785365,0.0,0.0
2022-04-26 00:00:00+05:30,75.86,77.11,75.61,76.76,659225,0.0,0.0
2022-04-27 00:00:00+05:30,75.71,78.5,75.12,77.55,1216361,0.0,0.0
2022-04-28 00:00:00+05:30,77.85,78.95,74.87,75.21,1579975,0.0,0.0
2022-04-29 00:00:00+05:30,75.71,76.91,73.32,73.87,898529,0.0,0.0
