date,open,high,low,close,volume,dividends,stock_splits
2020-09-01 00:00:00+05:30,10.8,10.95,7.65,8.85,680730246,0.0,0.0
2020-09-02 00:00:00+05:30,9.3,10.15,9.2,9.9,560088566,0.0,0.0
2020-09-03 00:00:00+05:30,10.5,12.85,10.45,12.55,487992026,0.0,0.0
2020-09-04 00:00:00+05:30,11.3,13.5,11.3,12.05,556772102,0.0,0.0
2020-09-07 00:00:00+05:30,13.25,13.25,11.95,12.3,296049294,0.0,0.0
2020-09-08 00:00:00+05:30,12.5,12.6,11.15,11.3,504295962,0.0,0.0
2020-09-09 00:00:00+05:30,10.95,11.25,10.55,11.1,388937297,0.0,0.0
2020-09-10 00:00:00+05:30,11.3,11.55,11.0,11.4,358369742,0.0,0.0
2020-09-11 00:00:00+05:30,11.4,11.4,10.9,11.15,223833805,0.0,0.0
2020-09-14 00:00:00+05:30,11.35,11.85,11.05,11.55,381304064,0.0,0.0
2020-09-15 00:00:00+05:30,11.85,12.25,11.65,11.75,742500490,0.0,0.0
2020-09-16 00:00:00+05:30,11.8,11.85,11.45,11.5,158712590,0.0,0.0
2020-09-17 00:00:00+05:30,11.4,11.45,11.1,11.25,190390751,0.0,0.0
2020-09-18 00:00:00+05:30,11.2,11.7,11.05,11.25,346084587,0.0,0.0
2020-09-21 00:00:00+05:30,11.25,11.4,10.3,10.4,315922033,0.0,0.0
2020-09-22 00:00:00+05:30,10.35,10.45,9.65,10.25,434043144,0.0,0.0
2020-09-23 00:00:00+05:30,10.0,10.2,8.85,9.2,612130572,0.0,0.0
2020-09-24 00:00:00+05:30,8.95,9.45,8.55,9.1,511436181,0.0,0.0
2020-09-25 00:00:00+05:30,9.35,10.45,9.0,10.3,505791107,0.0,0.0
2020-09-28 00:00:00+05:30,10.75,10.8,10.1,10.35,413963574,0.0,0.0
2020-09-29 00:00:00+05:30,10.1,10.25,9.55,9.8,460512776,0.0,0.0
