date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-05-02 00:00:00+05:30,64.79,66.42,64.74,66.03,29520623.0,0.0,0.0,
2025-05-05 00:00:00+05:30,66.17,67.52,66.03,66.8,29460326.0,0.0,0.0,
2025-05-06 00:00:00+05:30,66.24,67.13,65.04,65.31,29766355.0,0.0,0.0,
2025-05-07 00:00:00+05:30,63.84,67.08,63.74,66.74,58300609.0,0.0,0.0,
2025-05-08 00:00:00+05:30,66.39,68.77,65.85,66.2,52980809.0,0.0,0.0,
2025-05-09 00:00:00+05:30,64.79,66.74,64.79,65.99,29317280.0,0.0,0.0,
2025-05-12 00:00:00+05:30,68.53,69.36,67.8,68.85,35272346.0,0.0,0.0,
2025-05-13 00:00:00+05:30,68.77,69.47,68.53,68.77,23069930.0,0.0,0.0,
2025-05-14 00:00:00+05:30,68.87,69.36,68.33,69.24,24426755.0,0.0,0.0,
2025-05-15 00:00:00+05:30,69.24,69.76,68.66,69.25,19898533.0,0.0,0.0,
2025-05-16 00:00:00+05:30,69.22,69.94,68.83,69.03,15263099.0,0.0,0.0,
2025-05-19 00:00:00+05:30,68.97,69.25,68.29,68.44,17398028.0,0.0,0.0,
2025-05-20 00:00:00+05:30,68.33,68.63,66.69,66.96,16246677.0,0.0,0.0,
2025-05-21 00:00:00+05:30,66.88,66.98,65.54,66.45,21212180.0,0.0,0.0,
2025-05-22 00:00:00+05:30,66.43,66.91,65.99,66.65,14134213.0,0.0,0.0,
2025-05-23 00:00:00+05:30,66.65,67.18,66.34,66.87,12682631.0,0.0,0.0,
2025-05-26 00:00:00+05:30,66.87,67.28,66.17,66.4,18156503.0,0.0,0.0,
2025-05-27 00:00:00+05:30,66.38,68.15,65.73,67.9,22780571.0,0.0,0.0,
2025-05-28 00:00:00+05:30,68.27,68.48,67.44,67.77,29126509.0,0.0,0.0,
2025-05-29 00:00:00+05:30,67.94,68.23,67.03,67.68,42338882.0,0.0,0.0,
2025-05-30 00:00:00+05:30,67.68,68.37,67.18,67.75,45498615.0,0.0,0.0,
