date,open,high,low,close,volume,dividends,stock_splits
2024-08-01 00:00:00+05:30,76.22,76.43,75.16,75.38,899664,0.0,0.0
2024-08-02 00:00:00+05:30,75.09,75.09,74.11,74.33,1220772,0.0,0.0
2024-08-05 00:00:00+05:30,72.21,73.43,71.6,72.0,7181156,0.0,0.0
2024-08-06 00:00:00+05:30,72.46,73.4,71.6,71.73,1396869,0.0,0.0
2024-08-07 00:00:00+05:30,73.19,73.19,71.98,72.52,1145704,0.0,0.0
2024-08-08 00:00:00+05:30,72.83,72.97,71.9,72.04,845769,0.0,0.0
2024-08-09 00:00:00+05:30,72.71,73.68,72.5,72.86,1892366,0.0,0.0
2024-08-12 00:00:00+05:30,72.66,72.69,71.66,71.79,2893904,0.0,0.0
2024-08-13 00:00:00+05:30,72.07,72.42,71.1,71.37,2097241,0.0,0.0
2024-08-14 00:00:00+05:30,71.53,71.54,70.45,70.62,2396142,0.0,0.0
2024-08-16 00:00:00+05:30,71.63,72.1,70.9,71.93,3030475,0.0,0.0
2024-08-19 00:00:00+05:30,72.14,72.36,71.6,72.06,1052596,0.0,0.0
2024-08-20 00:00:00+05:30,72.34,73.68,72.06,73.34,2627266,0.0,0.0
2024-08-21 00:00:00+05:30,73.34,73.92,73.0,73.64,1025740,0.0,0.0
2024-08-22 00:00:00+05:30,74.49,75.74,73.9,75.37,3295077,0.0,0.0
2024-08-23 00:00:00+05:30,75.89,75.89,74.2,74.42,1891791,0.0,0.0
2024-08-26 00:00:00+05:30,75.0,75.1,74.0,74.12,2148403,0.0,0.0
2024-08-28 00:00:00+05:30,74.6,75.0,73.63,74.06,1766945,0.0,0.0
2024-08-29 00:00:00+05:30,74.06,74.4,72.95,73.24,1083230,0.0,0.0
2024-08-30 00:00:00+05:30,73.3,74.89,73.3,73.84,2333032,0.0,0.0
