date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2024-10-01 00:00:00+05:30,74.55,75.1,73.25,73.44,20008192.0,0.0,0.0,
2024-10-03 00:00:00+05:30,72.7,73.13,71.42,71.98,28487090.0,0.0,0.0,
2024-10-04 00:00:00+05:30,72.0,72.84,71.25,71.83,23631085.0,0.0,0.0,
2024-10-07 00:00:00+05:30,72.45,72.81,70.41,72.22,33502798.0,0.0,0.0,
2024-10-08 00:00:00+05:30,72.15,73.25,71.75,73.13,28603943.0,0.0,0.0,
2024-10-09 00:00:00+05:30,73.38,73.74,71.8,72.39,120779369.0,0.0,0.0,
2024-10-10 00:00:00+05:30,72.24,73.66,72.24,73.14,25885296.0,0.0,0.0,
2024-10-11 00:00:00+05:30,73.01,73.13,71.88,72.37,18820393.0,0.0,0.0,
2024-10-14 00:00:00+05:30,72.68,73.2,72.38,72.94,21893396.0,0.0,0.0,
2024-10-15 00:00:00+05:30,72.9,73.08,72.51,72.74,10389342.0,0.0,0.0,
2024-10-16 00:00:00+05:30,72.5,73.08,72.0,72.22,16787404.0,0.0,0.0,
2024-10-17 00:00:00+05:30,72.22,72.57,71.6,71.74,11642217.0,0.0,0.0,
2024-10-18 00:00:00+05:30,71.6,72.07,71.0,71.57,17860612.0,0.0,0.0,
2024-10-21 00:00:00+05:30,71.56,72.03,70.06,70.4,27168829.0,0.0,0.0,
2024-10-22 00:00:00+05:30,70.29,71.0,68.05,68.32,31369822.0,0.0,0.0,
2024-10-23 00:00:00+05:30,68.3,68.69,65.8,66.58,52678039.0,0.0,0.0,
2024-10-24 00:00:00+05:30,66.58,69.07,66.55,68.05,35558564.0,0.0,0.0,
2024-10-25 00:00:00+05:30,67.9,67.9,65.11,65.5,64232367.0,0.0,0.0,
2024-10-28 00:00:00+05:30,61.01,67.7,59.3,67.13,195250197.0,0.0,0.0,
2024-10-29 00:00:00+05:30,66.19,67.99,65.71,67.6,52058227.0,0.0,0.0,
2024-10-30 00:00:00+05:30,67.38,69.55,67.3,68.79,56784457.0,0.0,0.0,
