date,open,high,low,close,volume,dividends,stock_splits
2022-02-01 00:00:00+05:30,53.83,55.62,51.8,52.32,110880,0.0,0.0
2022-02-02 00:00:00+05:30,53.79,54.93,49.77,54.93,261228,0.0,0.0
2022-02-03 00:00:00+05:30,54.93,56.23,52.46,53.24,98256,0.0,0.0
2022-02-04 00:00:00+05:30,55.31,55.64,51.46,53.72,228264,0.0,0.0
2022-02-07 00:00:00+05:30,53.13,55.43,51.63,52.49,109104,0.0,0.0
2022-02-08 00:00:00+05:30,53.13,54.54,49.86,50.59,156864,0.0,0.0
2022-02-09 00:00:00+05:30,49.8,52.3,48.07,48.67,195852,0.0,0.0
2022-02-10 00:00:00+05:30,48.67,48.67,46.24,46.24,210894,0.0,0.0
2022-02-11 00:00:00+05:30,43.93,47.3,43.93,44.87,189108,0.0,0.0
2022-02-14 00:00:00+05:30,42.67,46.98,42.62,44.48,176166,0.0,0.0
2022-02-15 00:00:00+05:30,43.83,46.48,42.59,45.95,93324,0.0,0.0
2022-02-16 00:00:00+05:30,47.98,48.24,47.31,48.24,88554,0.0,0.0
2022-02-17 00:00:00+05:30,50.63,50.64,48.31,48.82,111936,0.0,0.0
2022-02-18 00:00:00+05:30,46.56,49.64,46.38,47.96,40308,0.0,0.0
2022-02-21 00:00:00+05:30,46.38,49.8,45.57,46.1,56316,0.0,0.0
2022-02-22 00:00:00+05:30,43.83,43.83,43.8,43.8,49872,0.0,0.0
2022-02-23 00:00:00+05:30,41.62,45.99,41.62,43.18,76164,0.0,0.0
2022-02-24 00:00:00+05:30,41.5,43.99,41.02,41.02,77550,0.0,0.0
2022-02-25 00:00:00+05:30,41.5,43.06,41.11,42.94,46416,0.0,0.0
