date,open,high,low,close,volume,dividends,stock_splits
2022-06-01 00:00:00+05:30,794.44,800.36,791.6,793.46,1670031,0.0,0.0
2022-06-02 00:00:00+05:30,793.02,796.79,787.2,788.86,1565763,0.0,0.0
2022-06-03 00:00:00+05:30,791.75,793.8,783.28,783.52,2052785,0.0,0.0
2022-06-06 00:00:00+05:30,783.52,784.94,758.9,761.1,3033514,0.0,0.0
2022-06-07 00:00:00+05:30,756.75,756.75,736.09,737.26,3774512,0.0,0.0
2022-06-08 00:00:00+05:30,737.16,737.16,720.71,722.62,4103499,0.0,0.0
2022-06-09 00:00:00+05:30,714.64,720.62,705.05,706.62,3729113,0.0,0.0
2022-06-10 00:00:00+05:30,698.1,704.71,693.25,694.87,3464178,0.0,0.0
2022-06-13 00:00:00+05:30,676.46,676.46,653.06,654.28,7781730,0.0,0.0
2022-06-14 00:00:00+05:30,650.22,669.7,649.14,660.21,5348769,0.0,0.0
2022-06-15 00:00:00+05:30,666.77,694.87,664.91,675.73,9204318,0.0,0.0
2022-06-16 00:00:00+05:30,688.75,691.24,653.06,655.36,4049782,0.0,0.0
2022-06-17 00:00:00+05:30,655.12,655.36,637.39,640.87,4043000,0.0,0.0
2022-06-20 00:00:00+05:30,646.65,652.77,636.41,647.58,3522551,0.0,0.0
2022-06-21 00:00:00+05:30,653.06,657.37,649.14,651.3,2355354,0.0,0.0
2022-06-22 00:00:00+05:30,652.08,670.59,650.22,654.63,3472810,0.0,0.0
2022-06-23 00:00:00+05:30,656.19,660.6,644.83,651.25,1798979,0.0,0.0
2022-06-24 00:00:00+05:30,655.31,659.47,645.32,647.82,1743400,0.0,0.0
2022-06-27 00:00:00+05:30,656.0,656.0,647.87,650.91,1405766,0.0,0.0
2022-06-28 00:00:00+05:30,649.39,650.91,645.23,649.49,1004747,0.0,0.0
2022-06-29 00:00:00+05:30,646.3,682.29,644.05,664.32,4653282,0.0,0.0
