date,open,high,low,close,volume,dividends,stock_splits
2023-08-03 00:00:00+05:30,45.58,50.45,45.05,50.45,2852908,0.0,0.0
2023-08-04 00:00:00+05:30,51.77,55.49,51.38,55.49,6422169,0.0,0.0
2023-08-07 00:00:00+05:30,58.55,59.66,49.94,50.33,5896722,0.0,0.0
2023-08-08 00:00:00+05:30,47.38,54.47,46.94,53.76,4900693,0.0,0.0
2023-08-09 00:00:00+05:30,54.13,55.56,52.01,53.07,2529709,0.0,0.0
2023-08-10 00:00:00+05:30,50.42,52.01,50.42,50.42,1106500,0.0,0.0
2023-08-11 00:00:00+05:30,47.9,51.47,47.9,50.29,1171796,0.0,0.0
2023-08-14 00:00:00+05:30,47.77,47.77,47.77,47.77,457522,0.0,0.0
2023-08-16 00:00:00+05:30,45.96,46.82,45.39,45.39,1358897,0.0,0.0
2023-08-17 00:00:00+05:30,43.13,43.13,43.13,43.13,169295,0.0,0.0
2023-08-18 00:00:00+05:30,42.0,44.99,41.05,42.85,2044386,0.0,0.0
2023-08-21 00:00:00+05:30,42.85,42.85,40.71,40.71,1045582,0.0,0.0
2023-08-22 00:00:00+05:30,39.1,42.75,38.68,42.75,2281007,0.0,0.0
2023-08-23 00:00:00+05:30,42.67,44.88,41.9,44.86,1883557,0.0,0.0
2023-08-24 00:00:00+05:30,45.88,46.38,43.59,43.94,1011664,0.0,0.0
2023-08-25 00:00:00+05:30,42.91,43.94,41.9,42.1,483803,0.0,0.0
2023-08-28 00:00:00+05:30,41.41,41.96,40.52,40.84,599033,0.0,0.0
2023-08-29 00:00:00+05:30,40.61,42.88,40.15,42.88,544758,0.0,0.0
2023-08-30 00:00:00+05:30,43.79,44.87,43.39,43.89,547593,0.0,0.0
