date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2021-08-02 00:00:00+05:30,37.95,39.1,37.81,38.86,64896737.0,0.0,0.0,0.0
2021-08-03 00:00:00+05:30,39.62,39.62,38.24,38.48,100994147.0,0.0,0.0,0.0
2021-08-04 00:00:00+05:30,38.67,38.81,37.52,37.62,79555428.0,0.0,0.0,0.0
2021-08-05 00:00:00+05:30,37.71,37.76,36.47,37.09,62226173.0,0.0,0.0,0.0
2021-08-06 00:00:00+05:30,37.23,38.0,37.0,37.76,62616916.0,0.0,0.0,0.0
2021-08-09 00:00:00+05:30,37.81,38.38,36.9,37.0,55639684.0,0.0,0.0,0.0
2021-08-10 00:00:00+05:30,37.14,37.28,35.61,35.8,64226181.0,0.0,0.0,0.0
2021-08-11 00:00:00+05:30,35.9,36.09,34.94,35.71,60555697.0,0.0,0.0,0.0
2021-08-12 00:00:00+05:30,35.75,36.23,35.71,36.09,32721153.0,0.0,0.0,0.0
2021-08-13 00:00:00+05:30,36.14,36.33,35.85,36.04,31382550.0,0.0,0.0,0.0
2021-08-16 00:00:00+05:30,35.95,36.18,35.66,35.75,19259890.0,0.0,0.0,0.0
2021-08-17 00:00:00+05:30,35.66,35.71,35.04,35.09,25157898.0,0.0,0.0,0.0
2021-08-18 00:00:00+05:30,35.04,35.33,34.47,34.85,32386126.0,0.0,0.0,0.0
2021-08-20 00:00:00+05:30,34.32,34.66,33.7,33.99,38801065.0,0.0,0.0,0.0
2021-08-23 00:00:00+05:30,34.08,35.09,33.85,34.51,54815488.0,0.0,0.0,0.0
2021-08-24 00:00:00+05:30,34.47,35.04,34.28,34.7,55044654.0,0.0,0.0,0.0
2021-08-25 00:00:00+05:30,34.8,35.23,34.61,34.8,45499400.0,0.0,0.0,0.0
2021-08-26 00:00:00+05:30,34.75,34.99,34.08,34.18,35509249.0,0.0,0.0,0.0
2021-08-27 00:00:00+05:30,34.18,34.61,34.08,34.51,31396562.0,0.0,0.0,0.0
2021-08-30 00:00:00+05:30,34.51,35.23,34.51,35.09,31585995.0,0.0,0.0,0.0
