date,open,high,low,close,volume,dividends,stock_splits
2024-02-01 00:00:00+05:30,11.51,11.51,11.51,11.51,63776,0.0,0.0
2024-02-02 00:00:00+05:30,11.28,11.28,11.28,11.28,73344,0.0,0.0
2024-02-05 00:00:00+05:30,11.06,11.06,11.06,11.06,73668,0.0,0.0
2024-02-06 00:00:00+05:30,10.84,10.84,10.84,10.84,64938,0.0,0.0
2024-02-07 00:00:00+05:30,10.63,10.63,10.63,10.63,159357,0.0,0.0
2024-02-08 00:00:00+05:30,10.42,10.42,10.42,10.42,71715,0.0,0.0
2024-02-09 00:00:00+05:30,10.22,10.22,10.22,10.22,48697,0.0,0.0
2024-02-12 00:00:00+05:30,10.02,10.02,10.02,10.02,36791,0.0,0.0
2024-02-13 00:00:00+05:30,9.82,9.82,9.82,9.82,45647,0.0,0.0
2024-02-14 00:00:00+05:30,9.63,9.63,9.63,9.63,45855,0.0,0.0
2024-02-15 00:00:00+05:30,9.44,9.44,9.44,9.44,76178,0.0,0.0
2024-02-16 00:00:00+05:30,9.26,9.31,9.26,9.26,1040938,0.0,0.0
2024-02-19 00:00:00+05:30,9.08,9.08,9.08,9.08,189240,0.0,0.0
2024-02-20 00:00:00+05:30,8.9,9.26,8.9,9.26,548456,0.0,0.0
2024-02-21 00:00:00+05:30,9.44,9.44,9.44,9.44,370953,0.0,0.0
2024-02-22 00:00:00+05:30,9.26,9.3,9.26,9.3,574327,0.0,0.0
2024-02-23 00:00:00+05:30,9.3,9.31,9.12,9.31,408482,0.0,0.0
2024-02-26 00:00:00+05:30,9.77,9.77,9.77,9.77,158531,0.0,0.0
2024-02-27 00:00:00+05:30,9.59,9.59,9.29,9.29,313036,0.0,0.0
2024-02-28 00:00:00+05:30,8.83,8.83,8.83,8.83,176082,0.0,0.0
