date,open,high,low,close,volume,dividends,stock_splits
2024-03-01 00:00:00+05:30,132.05,136.85,132.05,133.95,15557,0.0,0.0
2024-03-04 00:00:00+05:30,131.1,134.9,131.1,133.55,1253,0.0,0.0
2024-03-05 00:00:00+05:30,129.15,135.0,127.35,128.75,3515,0.0,0.0
2024-03-06 00:00:00+05:30,134.35,134.35,126.05,127.15,1801,0.0,0.0
2024-03-07 00:00:00+05:30,126.0,129.0,125.0,126.0,3313,0.0,0.0
2024-03-11 00:00:00+05:30,126.0,126.95,122.0,122.1,3319,0.0,0.0
2024-03-12 00:00:00+05:30,122.4,126.5,115.8,118.75,3916,0.0,0.0
2024-03-13 00:00:00+05:30,118.0,125.0,113.0,114.0,12428,0.0,0.0
2024-03-14 00:00:00+05:30,114.0,119.95,102.4,113.5,1996,0.0,0.0
2024-03-18 00:00:00+05:30,107.6,113.95,107.6,113.15,1112,0.0,0.0
2024-03-19 00:00:00+05:30,117.95,117.95,109.5,111.7,788,0.0,0.0
2024-03-20 00:00:00+05:30,105.05,117.15,105.05,111.7,2168,0.0,0.0
2024-03-21 00:00:00+05:30,112.0,117.55,110.65,117.45,1810,0.0,0.0
2024-03-22 00:00:00+05:30,119.8,120.45,113.0,115.4,9596,0.0,0.0
2024-03-26 00:00:00+05:30,113.1,117.85,110.0,110.4,21975,0.0,0.0
2024-03-27 00:00:00+05:30,110.5,114.2,105.0,107.25,53600,0.0,0.0
2024-03-28 00:00:00+05:30,108.05,112.8,107.0,108.9,10949,0.0,0.0
