date,open,high,low,close,volume,dividends,stock_splits
2022-04-01 00:00:00+05:30,5.33,5.59,5.26,5.59,1425967,0.0,0.0
2022-04-04 00:00:00+05:30,5.79,5.86,5.64,5.83,3894582,0.0,0.0
2022-04-05 00:00:00+05:30,5.93,6.12,5.65,6.1,11727890,0.0,0.0
2022-04-06 00:00:00+05:30,6.14,6.4,6.01,6.4,7236727,0.0,0.0
2022-04-07 00:00:00+05:30,6.64,6.65,6.08,6.16,10135840,0.0,0.0
2022-04-08 00:00:00+05:30,6.2,6.43,6.1,6.19,4165789,0.0,0.0
2022-04-11 00:00:00+05:30,6.34,6.4,5.97,6.03,3728334,0.0,0.0
2022-04-12 00:00:00+05:30,5.99,6.02,5.76,5.89,3991566,0.0,0.0
2022-04-13 00:00:00+05:30,5.98,6.18,5.9,6.11,15941000,0.0,0.0
2022-04-18 00:00:00+05:30,5.96,6.05,5.83,5.87,5682904,0.0,0.0
2022-04-19 00:00:00+05:30,5.88,6.15,5.75,5.81,5869544,0.0,0.0
2022-04-20 00:00:00+05:30,5.93,5.99,5.77,5.85,2267475,0.0,0.0
2022-04-21 00:00:00+05:30,5.95,5.95,5.8,5.82,1534702,0.0,0.0
2022-04-22 00:00:00+05:30,5.8,5.89,5.73,5.77,3433256,0.0,0.0
2022-04-25 00:00:00+05:30,5.74,5.74,5.52,5.6,3158244,0.0,0.0
2022-04-26 00:00:00+05:30,5.62,5.75,5.51,5.57,1802794,0.0,0.0
2022-04-27 00:00:00+05:30,5.45,5.57,5.32,5.36,3056273,0.0,0.0
2022-04-28 00:00:00+05:30,5.38,5.4,5.16,5.18,3592541,0.0,0.0
2022-04-29 00:00:00+05:30,5.19,5.43,5.19,5.41,6050626,0.0,0.0
