date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2021-07-01 00:00:00+05:30,959.5,971.98,955.45,968.23,1806696.0,0.0,0.0,0.0
2021-07-02 00:00:00+05:30,971.24,973.61,956.68,970.95,1982887.0,0.0,0.0,0.0
2021-07-05 00:00:00+05:30,973.22,981.51,965.32,975.54,1697600.0,0.0,0.0,0.0
2021-07-06 00:00:00+05:30,975.19,988.02,972.77,984.37,2271905.0,0.0,0.0,0.0
2021-07-07 00:00:00+05:30,982.1,982.1,969.76,974.35,1364283.0,0.0,0.0,0.0
2021-07-08 00:00:00+05:30,979.93,981.01,960.04,971.64,1406822.0,0.0,0.0,0.0
2021-07-09 00:00:00+05:30,969.56,974.99,957.42,961.86,1088635.0,0.0,0.0,0.0
2021-07-12 00:00:00+05:30,969.27,974.2,960.48,966.6,1170529.0,0.0,0.0,0.0
2021-07-13 00:00:00+05:30,971.24,978.64,963.94,975.88,997618.0,0.0,0.0,0.0
2021-07-14 00:00:00+05:30,977.11,977.16,967.29,974.15,605238.0,0.0,0.0,0.0
2021-07-15 00:00:00+05:30,982.15,986.05,963.35,965.76,1679244.0,0.0,0.0,0.0
2021-07-16 00:00:00+05:30,970.95,978.55,963.35,977.16,705163.0,0.0,0.0,0.0
2021-07-19 00:00:00+05:30,968.28,970.95,958.41,960.04,957347.0,0.0,0.0,0.0
2021-07-20 00:00:00+05:30,967.29,967.29,933.73,952.14,1471828.0,0.0,0.0,0.0
2021-07-22 00:00:00+05:30,957.57,973.02,911.92,930.63,7557441.0,0.0,0.0,0.0
2021-07-23 00:00:00+05:30,942.62,949.48,924.95,944.49,2255593.0,0.0,0.0,0.0
2021-07-26 00:00:00+05:30,957.42,1013.68,957.42,1004.06,8822539.0,0.0,0.0,0.0
2021-07-27 00:00:00+05:30,1007.76,1015.07,991.97,1003.22,1703257.0,0.0,0.0,0.0
2021-07-28 00:00:00+05:30,1013.24,1013.68,977.41,1004.06,2201220.0,0.0,0.0,0.0
2021-07-29 00:00:00+05:30,1005.79,1012.3,996.95,1004.26,1104932.0,0.0,0.0,0.0
2021-07-30 00:00:00+05:30,1011.61,1026.52,1001.99,1023.31,2072943.0,0.0,0.0,0.0
