date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2024-12-02 00:00:00+05:30,466.15,466.15,466.15,466.15,0.0,0.0,0.0,0.0
2024-12-03 00:00:00+05:30,470.53,470.53,470.53,470.53,0.0,0.0,0.0,0.0
2024-12-04 00:00:00+05:30,471.84,471.84,471.84,471.84,0.0,0.0,0.0,0.0
2024-12-05 00:00:00+05:30,474.09,474.09,474.09,474.09,0.0,0.0,0.0,0.0
2024-12-06 00:00:00+05:30,474.36,474.36,474.36,474.36,0.0,0.0,0.0,0.0
2024-12-09 00:00:00+05:30,474.38,474.38,474.38,474.38,0.0,0.0,0.0,0.0
2024-12-10 00:00:00+05:30,475.29,475.29,475.29,475.29,0.0,0.0,0.0,0.0
2024-12-11 00:00:00+05:30,475.85,475.85,475.85,475.85,0.0,0.0,0.0,0.0
2024-12-12 00:00:00+05:30,473.95,473.95,473.95,473.95,0.0,0.0,0.0,0.0
2024-12-13 00:00:00+05:30,475.48,475.48,475.48,475.48,0.0,0.0,0.0,0.0
2024-12-16 00:00:00+05:30,474.71,474.71,474.71,474.71,0.0,0.0,0.0,0.0
2024-12-17 00:00:00+05:30,469.65,469.65,469.65,469.65,0.0,0.0,0.0,0.0
2024-12-18 00:00:00+05:30,466.91,466.91,466.91,466.91,0.0,0.0,0.0,0.0
2024-12-19 00:00:00+05:30,464.36,464.36,464.36,464.36,0.0,0.0,0.0,0.0
2024-12-20 00:00:00+05:30,456.88,456.88,456.88,456.88,0.0,0.0,0.0,0.0
2024-12-23 00:00:00+05:30,459.02,459.02,459.02,459.02,0.0,0.0,0.0,0.0
2024-12-24 00:00:00+05:30,459.34,459.34,459.34,459.34,0.0,0.0,0.0,0.0
2024-12-26 00:00:00+05:30,458.87,458.87,458.87,458.87,0.0,0.0,0.0,0.0
2024-12-27 00:00:00+05:30,459.33,459.33,459.33,459.33,0.0,0.0,0.0,0.0
2024-12-30 00:00:00+05:30,457.48,457.48,457.48,457.48,0.0,0.0,0.0,0.0
