date,open,high,low,close,volume,dividends,stock_splits
2024-09-02 00:00:00+05:30,20.98,21.25,20.14,20.63,2660367,0.0,0.0
2024-09-03 00:00:00+05:30,20.63,20.97,19.73,19.97,859104,0.0,0.0
2024-09-04 00:00:00+05:30,19.85,21.0,19.41,20.9,1955389,0.0,0.0
2024-09-05 00:00:00+05:30,21.19,22.79,21.15,22.22,5832478,0.0,0.0
2024-09-06 00:00:00+05:30,22.45,24.25,22.45,23.14,7899757,0.0,0.0
2024-09-09 00:00:00+05:30,23.6,27.45,21.66,26.77,14233180,0.0,0.0
2024-09-10 00:00:00+05:30,27.51,27.94,25.37,25.84,6492158,0.0,0.0
2024-09-11 00:00:00+05:30,25.98,26.75,24.29,24.65,2050100,0.0,0.0
2024-09-12 00:00:00+05:30,24.84,26.69,24.84,26.27,3839734,0.0,0.0
2024-09-13 00:00:00+05:30,26.58,26.78,25.4,25.59,1758663,0.0,0.0
