date,open,high,low,close,volume,dividends,stock_splits
2024-04-01 00:00:00+05:30,36.84,39.12,36.71,38.81,1626728,0.0,0.0
2024-04-02 00:00:00+05:30,38.81,39.42,38.05,39.28,3074275,0.0,0.0
2024-04-03 00:00:00+05:30,39.34,41.6,39.05,40.75,5237705,0.0,0.0
2024-04-04 00:00:00+05:30,41.19,41.37,39.82,40.4,1509914,0.0,0.0
2024-04-05 00:00:00+05:30,40.36,40.87,39.82,40.66,1127937,0.0,0.0
2024-04-08 00:00:00+05:30,40.99,41.64,40.16,40.4,1162819,0.0,0.0
2024-04-09 00:00:00+05:30,40.61,40.65,39.47,39.82,769755,0.0,0.0
2024-04-10 00:00:00+05:30,39.92,40.33,39.29,39.88,1973623,0.0,0.0
2024-04-12 00:00:00+05:30,40.02,40.51,39.47,39.57,896465,0.0,0.0
2024-04-15 00:00:00+05:30,35.86,38.85,35.86,38.4,3981604,0.0,0.0
2024-04-16 00:00:00+05:30,37.94,39.18,37.87,38.63,1587018,0.0,0.0
2024-04-18 00:00:00+05:30,39.13,39.26,38.18,38.34,2147189,0.0,0.0
2024-04-19 00:00:00+05:30,37.48,38.47,37.34,38.24,2423615,0.0,0.0
2024-04-22 00:00:00+05:30,38.27,39.23,38.14,38.73,2057326,0.0,0.0
2024-04-23 00:00:00+05:30,38.83,39.86,38.73,39.53,2399113,0.0,0.0
2024-04-24 00:00:00+05:30,39.81,40.15,39.42,39.54,753478,0.0,0.0
2024-04-25 00:00:00+05:30,39.62,40.21,39.37,39.72,2003023,0.0,0.0
2024-04-26 00:00:00+05:30,39.67,39.87,39.31,39.42,1592618,0.0,0.0
2024-04-29 00:00:00+05:30,39.69,40.0,39.34,39.4,1805180,0.0,0.0
