date,open,high,low,close,volume,dividends,stock_splits
2021-11-01 00:00:00+05:30,54.05,55.15,54.0,55.15,1552729,0.0,0.0
2021-11-02 00:00:00+05:30,57.4,57.9,55.4,57.9,1221698,0.0,0.0
2021-11-03 00:00:00+05:30,60.75,60.75,59.2,60.75,4835321,0.0,0.0
2021-11-04 00:00:00+05:30,62.7,63.75,62.05,63.75,666072,0.0,0.0
2021-11-08 00:00:00+05:30,66.9,66.9,65.5,66.9,1355237,0.0,0.0
2021-11-09 00:00:00+05:30,70.2,70.2,67.45,70.2,5089532,0.0,0.0
2021-11-10 00:00:00+05:30,72.6,73.7,68.0,72.75,3079692,0.0,0.0
2021-11-11 00:00:00+05:30,72.2,72.2,69.15,69.15,1025275,0.0,0.0
2021-11-12 00:00:00+05:30,65.7,65.7,65.7,65.7,376651,0.0,0.0
2021-11-15 00:00:00+05:30,64.1,68.95,64.1,68.95,2177253,0.0,0.0
2021-11-16 00:00:00+05:30,71.05,72.35,71.05,72.35,171311,0.0,0.0
2021-11-17 00:00:00+05:30,75.75,75.95,75.75,75.95,790803,0.0,0.0
2021-11-18 00:00:00+05:30,79.7,79.7,74.0,79.7,3202318,0.0,0.0
2021-11-22 00:00:00+05:30,83.65,83.65,82.0,83.65,1817918,0.0,0.0
2021-11-23 00:00:00+05:30,87.8,87.8,86.3,87.8,769159,0.0,0.0
2021-11-24 00:00:00+05:30,92.15,92.15,92.15,92.15,50425,0.0,0.0
2021-11-25 00:00:00+05:30,96.75,96.75,96.75,96.75,71815,0.0,0.0
2021-11-26 00:00:00+05:30,98.2,101.55,93.25,101.55,4091800,0.0,0.0
2021-11-29 00:00:00+05:30,106.6,106.6,96.5,106.6,5258605,0.0,0.0
