date,open,high,low,close,volume,dividends,stock_splits
2022-08-01 00:00:00+05:30,2.08,2.12,2.01,2.08,158772,0.0,0.0
2022-08-02 00:00:00+05:30,2.08,2.15,2.08,2.08,181794,0.0,0.0
2022-08-03 00:00:00+05:30,2.12,2.15,2.08,2.08,140807,0.0,0.0
2022-08-04 00:00:00+05:30,2.12,2.12,2.04,2.12,97379,0.0,0.0
2022-08-05 00:00:00+05:30,2.08,2.3,2.04,2.23,628033,0.0,0.0
2022-08-08 00:00:00+05:30,2.27,2.27,2.12,2.15,149138,0.0,0.0
2022-08-10 00:00:00+05:30,2.23,2.34,2.15,2.23,392892,0.0,0.0
2022-08-11 00:00:00+05:30,2.27,2.34,2.19,2.23,132733,0.0,0.0
2022-08-12 00:00:00+05:30,2.23,2.23,2.15,2.19,103243,0.0,0.0
2022-08-16 00:00:00+05:30,2.19,2.23,2.12,2.19,149843,0.0,0.0
2022-08-17 00:00:00+05:30,2.19,2.27,2.12,2.15,386397,0.0,0.0
2022-08-18 00:00:00+05:30,2.15,2.19,2.08,2.08,202233,0.0,0.0
2022-08-19 00:00:00+05:30,2.08,2.19,2.08,2.08,158121,0.0,0.0
2022-08-22 00:00:00+05:30,2.12,2.12,2.04,2.08,105838,0.0,0.0
2022-08-23 00:00:00+05:30,2.12,2.12,2.04,2.08,87784,0.0,0.0
2022-08-24 00:00:00+05:30,2.12,2.12,2.04,2.12,82987,0.0,0.0
2022-08-25 00:00:00+05:30,2.12,2.12,2.04,2.08,218641,0.0,0.0
2022-08-26 00:00:00+05:30,2.12,2.19,2.08,2.15,211474,0.0,0.0
2022-08-29 00:00:00+05:30,2.15,2.19,2.08,2.12,103026,0.0,0.0
2022-08-30 00:00:00+05:30,2.19,2.19,2.12,2.15,155664,0.0,0.0
