date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-12-01 00:00:00+05:30,1.89,1.93,1.88,1.88,3349285.0,0.0,0.0,
2025-12-02 00:00:00+05:30,1.88,1.89,1.86,1.87,1871609.0,0.0,0.0,
2025-12-03 00:00:00+05:30,1.88,1.89,1.85,1.86,2230731.0,0.0,0.0,
2025-12-04 00:00:00+05:30,1.85,1.86,1.82,1.83,2048485.0,0.0,0.0,
2025-12-05 00:00:00+05:30,1.83,1.86,1.81,1.84,2186441.0,0.0,0.0,
2025-12-08 00:00:00+05:30,1.88,1.88,1.76,1.78,3947346.0,0.0,0.0,
2025-12-09 00:00:00+05:30,1.78,1.85,1.74,1.83,2838884.0,0.0,0.0,
2025-12-10 00:00:00+05:30,1.84,1.88,1.82,1.82,2263224.0,0.0,0.0,
2025-12-11 00:00:00+05:30,1.85,1.85,1.79,1.81,2329026.0,0.0,0.0,
2025-12-12 00:00:00+05:30,1.82,1.84,1.8,1.81,2804391.0,0.0,0.0,
2025-12-15 00:00:00+05:30,1.82,1.86,1.8,1.83,2567631.0,0.0,0.0,
2025-12-16 00:00:00+05:30,1.82,1.85,1.81,1.81,1971749.0,0.0,0.0,
2025-12-17 00:00:00+05:30,1.81,1.83,1.8,1.82,1200715.0,0.0,0.0,
