date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2021-11-01 00:00:00+05:30,0.52,0.52,0.5,0.5,4835437.0,0.0,0.0,0.0
2021-11-02 00:00:00+05:30,0.49,0.52,0.48,0.52,1577908.0,0.0,0.0,0.0
2021-11-03 00:00:00+05:30,0.54,0.54,0.53,0.54,1629166.0,0.0,0.0,0.0
2021-11-04 00:00:00+05:30,0.56,0.56,0.56,0.56,408702.0,0.0,0.0,0.0
2021-11-08 00:00:00+05:30,0.58,0.58,0.54,0.56,4655324.0,0.0,0.0,0.0
2021-11-09 00:00:00+05:30,0.57,0.58,0.55,0.58,4502353.0,0.0,0.0,0.0
2021-11-10 00:00:00+05:30,0.6,0.6,0.59,0.6,2362986.0,0.0,0.0,0.0
2021-11-11 00:00:00+05:30,0.63,0.63,0.63,0.63,1064653.0,0.0,0.0,0.0
2021-11-12 00:00:00+05:30,0.66,0.66,0.65,0.66,5041988.0,0.0,0.0,0.0
2021-11-15 00:00:00+05:30,0.69,0.69,0.68,0.69,2142236.0,0.0,0.0,0.0
2021-11-16 00:00:00+05:30,0.72,0.72,0.72,0.72,1749112.0,0.0,0.0,0.0
2021-11-17 00:00:00+05:30,0.75,0.75,0.75,0.75,1990926.0,0.0,0.0,0.0
2021-11-18 00:00:00+05:30,0.78,0.78,0.78,0.78,2039368.0,0.0,0.0,0.0
2021-11-22 00:00:00+05:30,0.81,0.81,0.81,0.81,2174390.0,0.0,0.0,0.0
2021-11-23 00:00:00+05:30,0.85,0.85,0.85,0.85,687321.0,0.0,0.0,0.0
2021-11-24 00:00:00+05:30,0.89,0.89,0.89,0.89,588461.0,0.0,0.0,0.0
2021-11-25 00:00:00+05:30,0.93,0.93,0.93,0.93,1130402.0,0.0,0.0,0.0
2021-11-26 00:00:00+05:30,0.97,0.97,0.89,0.97,29446990.0,0.0,0.0,0.0
2021-11-29 00:00:00+05:30,1.0,1.01,0.97,1.01,12002980.0,0.0,0.0,0.0
