instrument_type,symbol,scrip_name,scrip_code,isin,isin_reinvestment
Equity,20MICRONS,20 MICRONS LTD.,533022,INE144J01027,
Equity,360ONE,360 ONE WAM LTD,542772,INE466L01038,
Equity,3BBLACKBIO,3B BlackBio Dx Ltd,532067,INE994E01018,
Equity,3CIT,3C IT Solutions and Telecoms (India) Ltd,544190,INE0R7D01018,
Equity,3IINFOLTD,3I INFOTECH LTD.,532628,INE748C01038,
Equity,3MINDIA,3M INDIA LTD.,523395,INE470A01017,
Equity,3PLAND,3P Land Holdings Ltd,516092,INE105C01023,
Equity,5PAISA,5paisa Capital Ltd,540776,INE618L01018,
Equity,63MOONS,63 Moons Technologies Ltd,526881,INE111B01023,
Equity,7NR,7NR Retail Ltd,540615,INE413X01035,
Equity,7SEASL,7Seas Entertainment Ltd,540874,INE454F01010,
Equity,AAL,A-1 Acid Ltd,542012,INE911Z01017,
Equity,AFEL,A.F. Enterprises Ltd,538351,INE663P01015,
Equity,AKSPINTEX,A.K. Spintex Ltd,539300,INE671K01019,
Equity,AKCAPIT,A.K.CAPITAL SERVICES LTD.,530499,INE701G01012,
Equity,A2ZINFRA,A2Z Infra Engineering Limited,533292,INE619I01012,
Equity,AAPLUSTRAD,AA Plus Tradelink Ltd,543319,INE0C5901014,
Equity,AAATECH,AAA Technologies Ltd,543671,INE0D0U01013,
Equity,AADIIND,AADI INDUSTRIES LTD.,530027,INE563D01013,
Equity,AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LTD.,524412,INE198H01019,
Equity,AARTIDRUGS,AARTI DRUGS LTD.,524348,INE767A01016,
Equity,AARTIIND,AARTI INDUSTRIES LTD.,524208,INE769A01020,
Equity,AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.,514274,INE273D01019,
Equity,AAVAS,AAVAS Financiers Ltd,541988,INE216P01012,
Equity,ABAN,ABAN OFFSHORE LTD.,523204,INE421A01028,
Equity,ABB,ABB India Limited,500002,INE117A01022,
Equity,ABBOTINDIA,ABBOTT INDIA LTD.,500488,INE358A01014,
Equity,ABCINDQ,ABC INDIA LTD.-$,520123,INE125D01011,
Equity,ABHICAP,ABHINAV CAPITAL SERVICES LTD.,532057,INE516F01016,
Equity,ABIRAFN,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,511756,INE195I01013,
Equity,ABMKNO,ABM KNOWLEDGEWARE LTD.,531161,INE850B01026,
Equity,ACC,ACC LTD.,500410,INE012A01025,
Equity,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,531525,INE849B01010,
Equity,ACIIN,ACI INFOCOM LTD.,517356,INE167B01025,
Equity,ACKNIT,ACKNIT INDUSTRIES LTD.,530043,INE326C01017,
Equity,ACROW,ACROW INDIA LTD.,513149,INE950D01012,
Equity,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,532762,INE731H01025,
Equity,ADMANUM,AD-MANUM FINANCE LTD.,511359,INE556D01017,
Equity,ADANIENT,ADANI ENTERPRISES LTD.,512599,INE423A01024,
Equity,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,532921,INE742F01042,
Equity,ADANIPOWER,ADANI POWER LTD.,533096,INE814H01011,
Equity,ADARSHPL,ADARSH PLANT PROTECT LTD.,526711,INE627D01016,
Equity,ADCINDIA,ADC India Communications Limited-$,523411,INE833A01016,
Equity,ADDIND,ADDI INDUSTRIES LTD.-$,507852,INE757C01021,
Equity,ADFFOODS,ADF FOODS LTD.-$,519183,INE982B01027,
Equity,ADIEXRE,ADINATH EXIM RESOURCES LTD.,532056,INE398H01015,
Equity,ADINATH,ADINATH TEXTILES LTD.,514113,INE207C01019,
