Date,Company,Amount,Exchange,Segment,Scrip Code,Instrument Type,Strike Price,Expiry,Trade Num,Trade Time,Side,Quantity,Price
09-03-2021,Heranba Industries Limited,"₹8,525.00",NSE,EQ,543266,Equity,0,,26612985,10:38:35,Sell,11,₹775.00
05-03-2021,Heranba Industries Limited,"₹9,840.00",NSE,EQ,543266,Equity,0,,31557281,15:24:27,Sell,12,₹820.00
04-03-2021,Heranba Industries Limited,"₹14,421.00",NSE,EQ,543266,Equity,0,,,,Buy,23,₹627.00
22-02-2021,TATA POWER,"₹2,970.00",NSE,EQ,500400,Equity,0,,77846479,11:44:35,Buy,33,₹90.00
09-02-2021,GOLDBEES,₹83.64,NSE,EQ,590095,Equity,0,,29821602,14:25:00,Buy,2,₹41.82
09-02-2021,NIFTY BEES,₹162.52,NSE,EQ,590103,Equity,0,,53501905,14:25:00,Buy,1,₹162.52
08-02-2021,TATA POWER,"₹6,480.00",NSE,EQ,500400,Equity,0,,77809513,11:39:33,Buy,72,₹90.00
30-07-2020,VODAFONE IDEA LTD,₹397.50,NSE,EQ,532822,Equity,0,,29444896,15:15:54,Buy,50,₹7.95
29-07-2020,PUNJAB NATBK,₹988.50,NSE,EQ,532461,Equity,0,,52597861,14:12:52,Buy,30,₹32.95
29-07-2020,YES BANK LTD,₹587.50,NSE,EQ,532648,Equity,0,,78905919,14:11:01,Buy,50,₹11.75
29-07-2020,VODAFONE IDEA LTD,₹164.00,NSE,EQ,532822,Equity,0,,28455875,14:14:01,Buy,20,₹8.20
27-07-2020,YES BANK LTD,"₹1,230.00",NSE,EQ,532648,Equity,0,,76719820,10:47:51,Buy,100,₹12.30
03-07-2020,TATA MOTORS,"₹1,560.00",NSE,EQ,500570,Equity,0,,77496665,13:31:19,Buy,15,₹104.00
15-06-2020,BHAGERI IND,"₹1,695.00",NSE,EQ,530803,Equity,0,,1767306,10:57:42,Sell,15,₹113.00
19-05-2020,BHAGERI IND,₹500.00,NSE,EQ,530803,Equity,0,,4006651,14:44:06,Buy,5,₹100.00
05-05-2020,BHAGERI IND,"₹1,165.50",NSE,EQ,530803,Equity,0,,2154030,11:31:20,Buy,10,₹116.55
04-05-2020,TATA MOTORS,₹419.00,NSE,EQ,500570,Equity,0,,79614488,14:33:45,Buy,5,₹83.80
21-04-2020,TATA MOTORS,"₹1,051.40",NSE,EQ,500570,Equity,0,,79300205,14:41:30,Buy,14,₹75.10
