date,segment,stock_name,strike_price,quantity,buy_price,buy_amount,sell_price,sell_amount,pnl
2020-06-15,EQ,BHAGERIA,,10.0,116.55,1165.5,113.0,1130.0,-35.5
2020-06-15,EQ,BHAGERIA,,5.0,100.0,500.0,113.0,565.0,65.0
2021-03-05,EQ,HERANBA,,12.0,627.0,7524.0,820.0,9840.0,2316.0
2021-03-09,EQ,HERANBA,,11.0,627.0,6897.0,775.0,8525.0,1628.0
2021-06-04,EQ,GOLDBEES,,2.0,41.82,83.64,42.03,84.06,0.42
2021-06-14,EQ,INFY,,3.0,1434.6,4303.8,1457.0,4371.0,67.2
2021-06-14,EQ,INFY,,5.0,1433.95,7169.75,1457.0,7285.0,115.25
2021-06-14,EQ,NIFTYBEES,,1.0,162.52,162.52,168.95,168.95,6.43
2021-06-14,EQ,PNB,,30.0,32.95,988.5,41.45,1243.5,255.0
2021-06-04,EQ,SBIN,,14.0,365.0,5110.0,436.0,6104.0,994.0
2021-06-14,EQ,IDEA,,20.0,8.2,164.0,9.65,193.0,29.0
2021-06-14,EQ,IDEA,,50.0,7.95,397.5,9.65,482.5,85.0
2021-11-10,EQ,YESBANK,,100.0,12.3,1230.0,13.0,1300.0,70.0
2021-11-10,EQ,YESBANK,,50.0,11.75,587.5,13.0,650.0,62.5
2022-08-10,EQ,BPCL,,43.0,457.0,19651.0,328.85,14140.55,-5510.45
2022-08-10,EQ,LICI,,15.0,904.0,13560.0,684.35,10265.25,-3294.75
2022-08-10,EQ,TATACHEM,,20.0,751.2,15024.0,1030.0,20600.0,5576.0
2022-08-10,EQ,TATAPOWER,,19.0,90.0,1710.0,230.15,4372.85,2662.85
2022-08-10,EQ,VOLTAS,,4.0,1059.0,4236.0,986.0,3944.0,-292.0
2024-06-13,CE,NIFTY,23350,25.0,59.0,1475.0,61.9,1547.5,72.5
2024-06-20,CE,NIFTY,23450,25.0,70.0,1750.0,77.55,1938.75,188.75
2024-06-20,CE,NIFTY,23450,25.0,70.0,1750.0,77.55,1938.75,188.75
2024-06-18,CE,NIFTY,23500,25.0,120.0,3000.0,135.65,3391.25,391.25
2024-06-19,CE,NIFTY,23600,25.0,49.95,1248.75,48.0,1200.0,-48.75
2024-06-19,CE,NIFTY,23600,25.0,30.0,750.0,48.0,1200.0,450.0
2024-06-20,CE,NIFTY,23650,75.0,14.75,1106.25,6.0,450.0,-656.25
2024-06-20,CE,NIFTY,23650,25.0,14.75,368.75,6.0,150.0,-218.75
2024-06-20,CE,NIFTY,23650,50.0,15.0,750.0,13.65,682.5,-67.5
2024-06-20,CE,NIFTY,23650,25.0,15.0,375.0,12.55,313.75,-61.25
2024-06-20,CE,NIFTY,23650,25.0,15.0,375.0,12.55,313.75,-61.25
2024-06-21,CE,NIFTY,23500,25.0,125.0,3125.0,151.0,3775.0,650.0
2024-06-21,CE,NIFTY,23500,75.0,125.0,9375.0,151.0,11325.0,1950.0
2024-06-25,CE,NIFTY,23550,100.0,126.2,12620.0,128.3,12830.0,210.0
2024-06-26,CE,NIFTY,23800,25.0,109.1,2727.5,121.0,3025.0,297.5
2024-06-26,CE,NIFTY,23800,25.0,109.1,2727.5,121.0,3025.0,297.5
2024-06-26,CE,NIFTY,23800,50.0,109.1,5455.0,121.0,6050.0,595.0
2024-06-27,CE,NIFTY,23800,50.0,121.0,6050.0,175.0,8750.0,2700.0
2024-06-27,CE,NIFTY,23800,50.0,121.0,6050.0,176.85,8842.5,2792.5
2024-07-02,CE,NIFTY,24000,25.0,181.55,4538.75,201.1,5027.5,488.75
2024-07-02,CE,NIFTY,24000,25.0,181.55,4538.75,201.1,5027.5,488.75
2024-07-02,CE,NIFTY,24000,50.0,181.55,9077.5,201.05,10052.5,975.0
2024-07-01,CE,NIFTY,24050,25.0,182.85,4571.25,191.7,4792.5,221.25
2024-07-01,CE,NIFTY,24050,75.0,182.85,13713.75,191.65,14373.75,660.0
2024-06-28,CE,NIFTY,24100,50.0,170.0,8500.0,170.0,8500.0,0.0
2024-06-28,CE,NIFTY,24100,50.0,145.0,7250.0,170.0,8500.0,1250.0
2024-07-04,CE,NIFTY,24300,25.0,50.0,1250.0,52.7,1317.5,67.5
2024-07-10,CE,NIFTY,24100,25.0,167.0,4175.0,183.85,4596.25,421.25
2024-07-10,CE,NIFTY,24100,75.0,167.0,12525.0,183.9,13792.5,1267.5
2024-07-05,CE,NIFTY,24200,50.0,168.3,8415.0,176.25,8812.5,397.5
2024-07-05,CE,NIFTY,24250,25.0,162.6,4065.0,185.0,4625.0,560.0
2024-07-05,CE,NIFTY,24250,50.0,162.6,8130.0,185.0,9250.0,1120.0
2024-07-09,CE,NIFTY,24300,100.0,120.0,12000.0,145.45,14545.0,2545.0
2024-07-09,CE,NIFTY,24300,50.0,140.0,7000.0,137.55,6877.5,-122.5
2024-07-09,CE,NIFTY,24300,25.0,140.0,3500.0,137.45,3436.25,-63.75
2024-07-09,CE,NIFTY,24300,25.0,140.0,3500.0,137.5,3437.5,-62.5
2024-07-11,CE,NIFTY,24300,25.0,14.05,351.25,19.95,498.75,147.5
2024-07-11,CE,NIFTY,24350,50.0,59.75,2987.5,21.35,1067.5,-1920.0
2024-07-11,CE,NIFTY,24350,75.0,40.0,3000.0,21.35,1601.25,-1398.75
2024-07-11,CE,NIFTY,24350,25.0,59.75,1493.75,21.35,533.75,-960.0
2024-07-11,CE,NIFTY,24350,25.0,59.75,1493.75,21.35,533.75,-960.0
2024-07-11,CE,NIFTY,24350,25.0,40.0,1000.0,21.35,533.75,-466.25
2024-07-09,CE,NIFTY,24400,25.0,89.0,2225.0,117.1,2927.5,702.5
2024-07-09,CE,NIFTY,24400,25.0,89.0,2225.0,117.1,2927.5,702.5
2024-07-09,CE,NIFTY,24400,100.0,89.0,8900.0,117.1,11710.0,2810.0
