date,trade_time,trade_num,exchange,segment,scrip_code,instrument_type,strike_price,expiry,company,side,quantity,price,amount
2021-03-09 00:00:00,10:38:35,26612985,NSE,EQ,543266,Equity,0,,Heranba Industries Limited,Sell,11,775,8525
2021-03-05 00:00:00,15:24:27,31557281,NSE,EQ,543266,Equity,0,,Heranba Industries Limited,Sell,12,820,9840
2021-03-04 00:00:00,,,NSE,EQ,543266,Equity,0,,Heranba Industries Limited,Buy,23,627,14421
2021-02-22 00:00:00,11:44:35,77846479,NSE,EQ,500400,Equity,0,,TATA POWER,Buy,33,90,2970
2021-02-09 00:00:00,14:25:00,29821602,NSE,EQ,590095,Equity,0,,GOLDBEES,Buy,2,41.82,83.64
2021-02-09 00:00:00,14:25:00,53501905,NSE,EQ,590103,Equity,0,,NIFTY BEES,Buy,1,162.52,162.52
2021-02-08 00:00:00,11:39:33,77809513,NSE,EQ,500400,Equity,0,,TATA POWER,Buy,72,90,6480
2020-07-30 00:00:00,15:15:54,29444896,NSE,EQ,532822,Equity,0,,VODAFONE IDEA LTD,Buy,50,7.95,397.5
2020-07-29 00:00:00,14:12:52,52597861,NSE,EQ,532461,Equity,0,,PUNJAB NATBK,Buy,30,32.95,988.5
2020-07-29 00:00:00,14:11:01,78905919,NSE,EQ,532648,Equity,0,,YES BANK LTD,Buy,50,11.75,587.5
2020-07-29 00:00:00,14:14:01,28455875,NSE,EQ,532822,Equity,0,,VODAFONE IDEA LTD,Buy,20,8.2,164
2020-07-27 00:00:00,10:47:51,76719820,NSE,EQ,532648,Equity,0,,YES BANK LTD,Buy,100,12.3,1230
2020-07-03 00:00:00,13:31:19,77496665,NSE,EQ,500570,Equity,0,,TATA MOTORS,Buy,15,104,1560
2020-06-15 00:00:00,10:57:42,1767306,NSE,EQ,530803,Equity,0,,BHAGERI IND,Sell,15,113,1695
2020-05-19 00:00:00,14:44:06,4006651,NSE,EQ,530803,Equity,0,,BHAGERI IND,Buy,5,100,500
2020-05-05 00:00:00,11:31:20,2154030,NSE,EQ,530803,Equity,0,,BHAGERI IND,Buy,10,116.55,1165.5
2020-05-04 00:00:00,14:33:45,79614488,NSE,EQ,500570,Equity,0,,TATA MOTORS,Buy,5,83.8,419
2020-04-21 00:00:00,14:41:30,79300205,NSE,EQ,500570,Equity,0,,TATA MOTORS,Buy,14,75.1,1051.4
