date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price
2022-12-07 00:00:00,TATA POWER,453.6,BSE,EQ,500400,Equity,0,,699500,10:48:34,Buy,2,226.8
2022-12-06 00:00:00,ICICIPRAMC - BHARATIWIN,403.97,BSE,EQ,540787,Equity,0,,157200,10:37:07,Buy,7,57.71
2022-12-06 00:00:00,ICICIPRAMC - BHARATIWIN,2020.55,BSE,EQ,540787,Equity,0,,157400,10:37:07,Buy,35,57.73
2022-12-05 00:00:00,TATA MOTORS,1290.9,BSE,EQ,500570,Equity,0,,4206100,11:20:05,Buy,3,430.3
2022-12-05 00:00:00,TCS LTD,3415.9,BSE,EQ,532540,Equity,0,,3299300,11:19:21,Buy,1,3415.9
2022-12-05 00:00:00,HDFC INDEX FUND - NIFTY PLAN -,2499.96,BMF,MF,F179K01WM1,MF,0,,,,Buy,14.13,176.9
2022-10-04 00:00:00,ICICIPRAMC - BHARATIWIN,52.11,NSE,EQ,540787,Equity,0,,28761837,14:48:31,Buy,1,52.11
2022-09-29 00:00:00,TATA POWER,422.1,NSE,EQ,500400,Equity,0,,78647790,14:02:09,Buy,2,211.05
2022-09-20 00:00:00,ADANI PORTS LTD,9769,NSE,EQ,532921,Equity,0,,4354368,14:28:11,Sell,10,976.9
2022-09-20 00:00:00,ADANI PORTS LTD,9768.5,NSE,EQ,532921,Equity,0,,4354369,14:28:11,Sell,10,976.85
2022-09-05 00:00:00,HDFC INDEX FUND - NIFTY PLAN -,4999.78,BMF,MF,F179K01WM1,MF,0,,,,Buy,29.95,166.97
2022-08-26 00:00:00,HDFC INDEX FUND - NIFTY PLAN -,2499.85,BMF,MF,F179K01WM1,MF,0,,,,Buy,15.06,165.97
2022-08-23 00:00:00,TCS LTD,3295.3,NSE,EQ,532540,Equity,0,,77130346,10:59:19,Buy,1,3295.3
2022-04-25 00:00:00,ADANI PORTS LTD,17286,NSE,EQ,532921,Equity,0,,1957005,10:37:02,Buy,20,864.3
2022-04-25 00:00:00,ICICIPRAMC - BHARATIWIN,100.2,NSE,EQ,540787,Equity,0,,27075814,10:37:54,Buy,2,50.1
2022-04-04 00:00:00,TATA POWER,2511.5,NSE,EQ,500400,Equity,0,,77650263,11:44:51,Buy,10,251.15
2022-04-04 00:00:00,TATA MOTORS,6726.75,NSE,EQ,500570,Equity,0,,77644764,11:44:15,Buy,15,448.45
2022-04-04 00:00:00,ICICIPRAMC - BHARATIWIN,49.88,NSE,EQ,540787,Equity,0,,29211671,11:45:15,Buy,1,49.88
2022-04-04 00:00:00,ICICIPRAMC - BHARATIWIN,249.15,NSE,EQ,540787,Equity,0,,29211670,11:45:15,Buy,5,49.83
