Date,Company,Amount,Exchange,Segment,Scrip Code,Instrument Type,Strike Price,Expiry,Trade Num,Trade Time,Side,Quantity,Price
10-07-2024,NIFTY,"₹13,792.50",FON,FO,NIFTY,European Call,24100,11-07-2024,73848334,12:11:22,Sell,75,₹183.90
10-07-2024,NIFTY,"₹16,700.00",FON,FO,NIFTY,European Call,24100,11-07-2024,73361603,11:46:04,Buy,100,₹167.00
10-07-2024,NIFTY,"₹4,596.25",FON,FO,NIFTY,European Call,24100,11-07-2024,73848335,12:11:22,Sell,25,₹183.85
09-07-2024,NIFTY,"₹6,041.25",FON,FO,NIFTY,European Put,24350,11-07-2024,793365436,10:23:04,Sell,75,₹80.55
09-07-2024,NIFTY,"₹3,437.50",FON,FO,NIFTY,European Call,24300,11-07-2024,73734843,10:20:55,Sell,25,₹137.50
09-07-2024,NIFTY,"₹5,855.00",FON,FO,NIFTY,European Call,24400,11-07-2024,10591932,13:17:26,Sell,50,₹117.10
09-07-2024,NIFTY,"₹2,225.00",FON,FO,NIFTY,European Call,24400,11-07-2024,9177743,12:44:04,Buy,25,₹89.00
09-07-2024,NIFTY,"₹8,030.00",FON,FO,NIFTY,European Put,24350,11-07-2024,793365148,10:23:03,Buy,100,₹80.30
09-07-2024,NIFTY,"₹2,013.75",FON,FO,NIFTY,European Put,24350,11-07-2024,793365437,10:23:04,Sell,25,₹80.55
09-07-2024,NIFTY,"₹14,545.00",FON,FO,NIFTY,European Call,24300,11-07-2024,72333347,09:47:45,Sell,100,₹145.45
09-07-2024,NIFTY,"₹3,436.25",FON,FO,NIFTY,European Call,24300,11-07-2024,73734844,10:20:55,Sell,25,₹137.45
09-07-2024,NIFTY,"₹11,710.00",FON,FO,NIFTY,European Call,24400,11-07-2024,10591933,13:17:26,Sell,100,₹117.10
09-07-2024,NIFTY,"₹14,000.00",FON,FO,NIFTY,European Call,24300,11-07-2024,73667966,10:19:25,Buy,100,₹140.00
09-07-2024,NIFTY,"₹11,125.00",FON,FO,NIFTY,European Call,24400,11-07-2024,9177744,12:44:04,Buy,125,₹89.00
09-07-2024,NIFTY,"₹6,877.50",FON,FO,NIFTY,European Call,24300,11-07-2024,73734842,10:20:55,Sell,50,₹137.55
08-07-2024,NIFTY,"₹12,000.00",FON,FO,NIFTY,European Call,24300,11-07-2024,75164199,15:02:08,Buy,100,₹120.00
05-07-2024,NIFTY,"₹6,000.00",FON,FO,NIFTY,European Put,24300,11-07-2024,792175386,11:50:06,Buy,50,₹120.00
05-07-2024,NIFTY,"₹3,028.75",FON,FO,NIFTY,European Put,24300,11-07-2024,792225451,11:58:36,Sell,25,₹121.15
05-07-2024,NIFTY,"₹9,250.00",FON,FO,NIFTY,European Call,24250,11-07-2024,5124165,15:12:21,Sell,50,₹185.00
05-07-2024,NIFTY,"₹3,028.75",FON,FO,NIFTY,European Put,24300,11-07-2024,792225450,11:58:36,Sell,25,₹121.15
05-07-2024,NIFTY,"₹8,812.50",FON,FO,NIFTY,European Call,24200,11-07-2024,2538076,11:33:05,Sell,50,₹176.25
05-07-2024,NIFTY,"₹2,978.75",FON,FO,NIFTY,European Put,24300,11-07-2024,792182428,11:51:36,Buy,25,₹119.15
05-07-2024,NIFTY,"₹6,057.50",FON,FO,NIFTY,European Put,24300,11-07-2024,792225449,11:58:36,Sell,50,₹121.15
05-07-2024,NIFTY,"₹8,415.00",FON,FO,NIFTY,European Call,24200,11-07-2024,2001017,10:44:46,Buy,50,₹168.30
05-07-2024,NIFTY,"₹1,258.75",FON,FO,NIFTY,European Put,24000,11-07-2024,720988347,09:44:03,Buy,25,₹50.35
05-07-2024,NIFTY,"₹4,625.00",FON,FO,NIFTY,European Call,24250,11-07-2024,5124164,15:12:21,Sell,25,₹185.00
05-07-2024,NIFTY,"₹2,978.75",FON,FO,NIFTY,European Put,24300,11-07-2024,792182429,11:51:36,Buy,25,₹119.15
