date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price,qt,amt,remark,note
2021-10-26 00:00:00,PUNJAB NATIONAL BANK,90.7,NSE,EQ,532461,Equity,,,0,00:00:00,BUY,2,45.35,2,90.7,,
2021-10-28 00:00:00,BANK OF BARODA,100.2,NSE,EQ,532134,Equity,,,0,00:00:00,BUY,1,100.2,1,100.2,,
2021-11-08 00:00:00,BANK OF BARODA,103.2,NSE,EQ,532134,Equity,,,0,00:00:00,SELL,1,103.2,-1,-103.2,,
2021-11-15 00:00:00,LLOYDS ENGG WORK LIMITED,24.9,NSE,EQ,539992,Equity,,,0,00:00:00,BUY,3,8.3,3,24.9,,
2021-11-22 00:00:00,LLOYDS ENGG WORK LIMITED,67.55,NSE,EQ,539992,Equity,,,0,00:00:00,BUY,7,9.65,7,67.55,,
2021-11-24 00:00:00,CAPITAL TRADE LINKS LTD,73.5,NSE,EQ,538476,Equity,,,0,00:00:00,BUY,10,7.35,10,73.5,,
2021-11-24 00:00:00,LLOYDS ENGG WORK LIMITED,553.5,NSE,EQ,539992,Equity,,,0,00:00:00,BUY,50,11.07,50,553.5,,
2021-11-24 00:00:00,LLOYDS ENGG WORK LIMITED,442.8,NSE,EQ,539992,Equity,,,0,00:00:00,BUY,40,11.07,40,442.8,,
2021-11-25 00:00:00,CAPITAL TRADE LINKS LTD,121.1,NSE,EQ,538476,Equity,,,0,00:00:00,BUY,14,8.65,14,121.1,,
2021-11-25 00:00:00,YAMINI INVESTMENTS COMPANY LTD,97,NSE,EQ,511012,Equity,,,0,00:00:00,BUY,100,0.97,100,97,,
2021-11-26 00:00:00,TATA TELESERV(MAHARASTRA),4862.5,NSE,EQ,532371,Equity,,,0,00:00:00,BUY,50,97.25,50,4862.5,Intraday trade,
2021-11-26 00:00:00,TATA TELESERV(MAHARASTRA),4044.15,NSE,EQ,532371,Equity,,,0,00:00:00,BUY,43,94.05,43,4044.15,Intraday trade,
2021-11-26 00:00:00,TATA TELESERV(MAHARASTRA),694.4,NSE,EQ,532371,Equity,,,0,00:00:00,BUY,7,99.2,7,694.4,Intraday trade,
2021-11-26 00:00:00,TATA TELESERV(MAHARASTRA),1292.85,NSE,EQ,532371,Equity,,,0,00:00:00,BUY,13,99.45,13,1292.85,,Split 2:1
2021-11-26 00:00:00,TATA TELESERV(MAHARASTRA),676.2,NSE,EQ,532371,Equity,,,0,00:00:00,BUY,7,96.6,7,676.2,,
2021-11-26 00:00:00,TATA TELESERV(MAHARASTRA),5100,NSE,EQ,532371,Equity,,,0,00:00:00,SELL,50,102,-50,-5100,,
2021-11-26 00:00:00,TATA TELESERV(MAHARASTRA),4386,NSE,EQ,532371,Equity,,,0,00:00:00,SELL,43,102,-43,-4386,,
2021-11-26 00:00:00,TATA TELESERV(MAHARASTRA),714,NSE,EQ,532371,Equity,,,0,00:00:00,SELL,7,102,-7,-714,,
2021-11-26 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,97,NSE,EQ,534741,Equity,,,0,00:00:00,BUY,100,0.97,100,97,,
2021-11-26 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,94,NSE,EQ,534741,Equity,,,0,00:00:00,BUY,100,0.94,100,94,,
2021-11-26 00:00:00,VIRTUAL GLOBAL EDUCATION LTD.,93,NSE,EQ,534741,Equity,,,0,00:00:00,BUY,100,0.93,100,93,,
