date,segment,symbol,dividend_amount
2020-05-15,EQ,SBICARD,19.0
2021-06-29,EQ,HAPPSTMNDS,90.0
2021-07-28,EQ,BECTORFOOD,36.0
2021-11-09,EQ,HAPPSTMNDS,52.5
2022-02-24,EQ,BECTORFOOD,18.75
2022-06-15,EQ,TATAPOWER,87.5
2022-06-23,EQ,HAPPSTMNDS,60.0
2022-07-14,EQ,ADANIPORTS,100.0
2022-09-22,EQ,BECTORFOOD,18.75
2022-10-17,EQ,TCS,8.0
2022-11-02,EQ,HAPPSTMNDS,60.0
2023-01-16,EQ,TCS,16.0
2023-02-17,EQ,BECTORFOOD,18.75
2023-06-07,EQ,TATAPOWER,68.0
2023-06-15,EQ,TCS,96.0
2023-07-07,EQ,HAPPSTMNDS,102.0
2023-07-20,EQ,TCS,36.0
2023-07-28,EQ,ADANIPORTS,5.0
2023-09-22,EQ,BECTORFOOD,26.25
2023-10-19,EQ,TCS,45.0
2023-10-30,EQ,HAPPSTMNDS,75.0
2024-01-19,EQ,TCS,108.0
2024-02-21,EQ,BECTORFOOD,18.75
2024-05-16,EQ,TCS,280.0
2024-06-04,EQ,ITC,1740.0
2024-06-11,EQ,TATAMOTORS,84.0
2024-06-14,EQ,ADANIPORTS,48.0
2024-06-14,EQ,HAPPSTMNDS,97.5
2024-07-04,EQ,TATAPOWER,124.0
2024-07-19,EQ,TCS,100.0
2024-08-22,EQ,IRFC,30.1
