financial_year,date,segment,symbol,dividend_amount
FY2020-21,2020-05-15,EQ,SBICARD,19.0
FY2021-22,2021-07-28,EQ,BECTORFOOD,84.0
FY2021-22,2022-02-24,EQ,BECTORFOOD,43.75
FY2021-22,2022-03-30,EQ,SBICARD,-47.5
FY2021-22,2022-03-30,EQ,SBICARD,47.5
FY2022-23,2022-06-15,EQ,TATAPOWER,87.5
FY2022-23,2022-07-14,EQ,ADANIPORTS,100.0
FY2022-23,2022-09-22,EQ,BECTORFOOD,43.75
FY2022-23,2022-10-17,EQ,TCS,8.0
FY2022-23,2023-01-16,EQ,TCS,16.0
FY2022-23,2023-02-17,EQ,BECTORFOOD,43.75
FY2022-23,2023-03-29,EQ,SBICARD,-47.5
FY2022-23,2023-03-29,EQ,SBICARD,47.5
FY2023-24,2023-06-07,EQ,TATAPOWER,68.0
FY2023-24,2023-06-15,EQ,TCS,96.0
FY2023-24,2023-07-20,EQ,TCS,36.0
FY2023-24,2023-07-28,EQ,ADANIPORTS,5.0
FY2023-24,2023-09-22,EQ,BECTORFOOD,61.25
FY2023-24,2023-10-19,EQ,TCS,45.0
FY2023-24,2024-01-19,EQ,TCS,108.0
FY2023-24,2024-02-21,EQ,BECTORFOOD,43.75
FY2023-24,2024-03-28,EQ,SBICARD,-47.5
FY2023-24,2024-03-28,EQ,SBICARD,47.5
FY2024-25,2024-05-16,EQ,TCS,280.0
FY2024-25,2024-06-04,EQ,ITC,1740.0
FY2024-25,2024-06-11,EQ,TATAMOTORS,84.0
FY2024-25,2024-06-14,EQ,ADANIPORTS,48.0
FY2024-25,2024-07-04,EQ,TATAPOWER,124.0
FY2024-25,2024-07-19,EQ,TCS,100.0
FY2024-25,2024-08-22,EQ,IRFC,30.1
FY2024-25,2024-10-18,EQ,TCS,100.0
FY2024-25,2024-11-12,EQ,IRFC,34.4
