date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2020-04-21,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,78.31,1096.34,78.31,1096.34,73.54,1029.56,74.29,1040.06
2020-04-22,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,74.29,1040.06,76.18,1066.52,72.15,1010.1,75.43,1056.02
2020-04-23,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,76.08,1065.12,78.17,1094.38,74.84,1047.76,75.18,1052.52
2020-04-24,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,74.84,1047.76,76.43,1070.02,73.54,1029.56,73.69,1031.66
2020-04-25,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,74.84,1047.76,76.43,1070.02,73.54,1029.56,73.69,1031.66
2020-04-26,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,74.84,1047.76,76.43,1070.02,73.54,1029.56,73.69,1031.66
2020-04-27,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,75.53,1057.42,75.68,1059.52,74.34,1040.76,74.79,1047.06
2020-04-28,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,75.43,1056.02,77.62,1086.68,74.84,1047.76,76.48,1070.72
2020-04-29,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,77.22,1081.08,78.81,1103.34,76.28,1067.92,77.67,1087.38
2020-04-30,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,77.22,1081.08,78.81,1103.34,76.28,1067.92,77.67,1087.38
2020-05-01,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,77.22,1081.08,78.81,1103.34,76.28,1067.92,77.67,1087.38
2020-05-02,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,77.22,1081.08,78.81,1103.34,76.28,1067.92,77.67,1087.38
2020-05-03,EQ,NSE,TATAMOTORS,TATA MOTORS,14.0,75.1,1051.4,77.22,1081.08,78.81,1103.34,76.28,1067.92,77.67,1087.38
2020-05-04,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,86.91,1651.29,86.91,1651.29,81.0,1539.0,83.38,1584.22
2020-05-05,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,106.39,1063.9,113.58,1135.8,102.35,1023.5,105.64,1056.4
2020-05-05,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,85.77,1629.63,86.22,1638.18,79.91,1518.29,80.45,1528.55
2020-05-06,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,108.08,1080.8,116.73,1167.3,104.13,1041.3,112.87,1128.7
2020-05-06,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,81.3,1544.7,83.48,1586.12,79.91,1518.29,82.59,1569.21
2020-05-07,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,113.58,1135.8,115.93,1159.3,108.46,1084.6,109.68,1096.8
2020-05-07,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,82.74,1572.06,84.13,1598.47,81.64,1551.16,81.99,1557.81
2020-05-08,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,112.4,1124.0,112.4,1124.0,103.9,1039.0,106.01,1060.1
2020-05-08,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,84.18,1599.42,84.33,1602.27,80.05,1520.95,80.55,1530.45
2020-05-09,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,112.4,1124.0,112.4,1124.0,103.9,1039.0,106.01,1060.1
2020-05-09,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,84.18,1599.42,84.33,1602.27,80.05,1520.95,80.55,1530.45
2020-05-10,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,112.4,1124.0,112.4,1124.0,103.9,1039.0,106.01,1060.1
2020-05-10,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,84.18,1599.42,84.33,1602.27,80.05,1520.95,80.55,1530.45
2020-05-11,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,107.09,1070.9,107.09,1070.9,101.69,1016.9,103.62,1036.2
2020-05-11,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,81.35,1545.65,89.89,1707.91,81.05,1539.95,85.57,1625.83
2020-05-12,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,101.5,1015.0,109.96,1099.6,98.68,986.8,99.53,995.3
2020-05-12,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,85.57,1625.83,87.16,1656.04,83.04,1577.76,85.62,1626.78
2020-05-13,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,102.53,1025.3,105.78,1057.8,100.56,1005.6,102.82,1028.2
2020-05-13,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,93.52,1776.88,93.52,1776.88,85.77,1629.63,86.71,1647.49
2020-05-14,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,103.38,1033.8,106.29,1062.9,102.44,1024.4,103.05,1030.5
2020-05-14,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,83.88,1593.72,84.77,1610.63,82.14,1560.66,83.28,1582.32
2020-05-15,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,100.51,1005.1,101.5,1015.0,99.86,998.6,100.28,1002.8
2020-05-15,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,84.48,1605.12,84.82,1611.58,82.39,1565.41,83.88,1593.72
2020-05-16,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,100.51,1005.1,101.5,1015.0,99.86,998.6,100.28,1002.8
2020-05-16,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,84.48,1605.12,84.82,1611.58,82.39,1565.41,83.88,1593.72
2020-05-17,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,100.51,1005.1,101.5,1015.0,99.86,998.6,100.28,1002.8
2020-05-17,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,84.48,1605.12,84.82,1611.58,82.39,1565.41,83.88,1593.72
2020-05-18,EQ,NSE,BHAGERIA,BHAGERI IND,10.0,116.55,1165.5,98.68,986.8,99.76,997.6,91.82,918.2,94.88,948.8
2020-05-18,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,84.18,1599.42,84.18,1599.42,79.11,1503.09,80.15,1522.85
2020-05-19,EQ,NSE,BHAGERIA,BHAGERI IND,15.0,111.03,1665.5,94.97,1424.55,97.32,1459.8,91.49,1372.35,93.23,1398.45
2020-05-19,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,82.49,1567.31,85.07,1616.33,81.05,1539.95,81.3,1544.7
2020-05-20,EQ,NSE,BHAGERIA,BHAGERI IND,15.0,111.03,1665.5,93.98,1409.7,96.1,1441.5,93.75,1406.25,94.55,1418.25
2020-05-20,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,81.3,1544.7,83.88,1593.72,80.3,1525.7,82.94,1575.86
2020-05-21,EQ,NSE,BHAGERIA,BHAGERI IND,15.0,111.03,1665.5,94.41,1416.15,100.7,1510.5,94.41,1416.15,97.08,1456.2
2020-05-21,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,82.69,1571.11,84.63,1607.97,82.49,1567.31,83.53,1587.07
2020-05-22,EQ,NSE,BHAGERIA,BHAGERI IND,15.0,111.03,1665.5,99.29,1489.35,99.43,1491.45,96.57,1448.55,96.9,1453.5
2020-05-22,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,82.94,1575.86,83.38,1584.22,81.5,1548.5,82.24,1562.56
2020-05-23,EQ,NSE,BHAGERIA,BHAGERI IND,15.0,111.03,1665.5,99.29,1489.35,99.43,1491.45,96.57,1448.55,96.9,1453.5
2020-05-23,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,82.94,1575.86,83.38,1584.22,81.5,1548.5,82.24,1562.56
2020-05-24,EQ,NSE,BHAGERIA,BHAGERI IND,15.0,111.03,1665.5,99.29,1489.35,99.43,1491.45,96.57,1448.55,96.9,1453.5
2020-05-24,EQ,NSE,TATAMOTORS,TATA MOTORS,19.0,77.39,1470.4,82.94,1575.86,83.38,1584.22,81.5,1548.5,82.24,1562.56
2020-05-25,EQ,NSE,BHAGERIA,BHAGERI IND,15.0,111.03,1665.5,99.29,1489.35,99.43,1491.45,96.57,1448.55,96.9,1453.5
