date,segment,exchange,stock_name,holding_quantity,holding_price_avg,holding_amount
2020-05-05,EQ,NSE,BHAGERIA,10.0,116.55,1165.5
2020-05-19,EQ,NSE,BHAGERIA,15.0,111.03,1665.5
2020-06-15,EQ,NSE,BHAGERIA,0.0,0.0,0.0
2021-08-06,EQ,NSE,BPCL,43.0,457.0,19651.0
2022-08-10,EQ,NSE,BPCL,0.0,0.0,0.0
2021-02-09,EQ,NSE,GOLDBEES,2.0,41.82,83.64
2021-06-04,EQ,NSE,GOLDBEES,0.0,0.0,0.0
2021-03-04,EQ,NSE,HERANBA,23.0,627.0,14421.0
2021-03-05,EQ,NSE,HERANBA,11.0,627.0,6897.0
2021-03-09,EQ,NSE,HERANBA,0.0,0.0,0.0
2020-07-29,EQ,NSE,IDEA,20.0,8.2,164.0
2020-07-30,EQ,NSE,IDEA,70.0,8.02,561.5
2021-06-14,EQ,NSE,IDEA,0.0,0.0,0.0
2021-04-12,EQ,NSE,INFY,8.0,1434.19,11473.55
2021-06-14,EQ,NSE,INFY,0.0,0.0,0.0
2024-06-04,EQ,NSE,IRCTC,3.0,896.2,2688.6
2024-06-13,EQ,NSE,KPITTECH,2.0,1500.0,3000.0
2022-05-13,EQ,NSE,LICI,15.0,904.0,13560.0
2022-08-10,EQ,NSE,LICI,0.0,0.0,0.0
2021-02-09,EQ,NSE,NIFTYBEES,1.0,162.52,162.52
2021-06-14,EQ,NSE,NIFTYBEES,0.0,0.0,0.0
2020-07-29,EQ,NSE,PNB,30.0,32.95,988.5
2021-06-14,EQ,NSE,PNB,0.0,0.0,0.0
2021-05-10,EQ,NSE,SBIN,14.0,365.0,5110.0
2021-06-04,EQ,NSE,SBIN,0.0,0.0,0.0
2021-06-15,EQ,NSE,TATACHEM,20.0,751.2,15024.0
2022-08-10,EQ,NSE,TATACHEM,0.0,0.0,0.0
2020-04-21,EQ,NSE,TATAMOTORS,14.0,75.1,1051.4
2020-05-04,EQ,NSE,TATAMOTORS,19.0,77.39,1470.4
2020-07-03,EQ,NSE,TATAMOTORS,34.0,89.13,3030.4
2021-04-12,EQ,NSE,TATAMOTORS,60.0,178.34,10700.4
2022-05-11,EQ,NSE,TATAMOTORS,100.0,261.0,26100.4
2021-02-08,EQ,NSE,TATAPOWER,72.0,90.0,6480.0
2021-02-22,EQ,NSE,TATAPOWER,105.0,90.0,9450.0
2022-05-11,EQ,NSE,TATAPOWER,169.0,141.03,23834.0
2022-08-10,EQ,NSE,TATAPOWER,150.0,147.49,22124.0
2021-06-15,EQ,NSE,VOLTAS,4.0,1059.0,4236.0
2022-08-10,EQ,NSE,VOLTAS,0.0,0.0,0.0
2020-07-27,EQ,NSE,YESBANK,100.0,12.3,1230.0
2020-07-29,EQ,NSE,YESBANK,150.0,12.12,1817.5
2021-11-10,EQ,NSE,YESBANK,0.0,0.0,0.0
2024-05-24,MF,BMF,MIRAE-ASSET-TAX-SAVER-DIRECT-GROWTH,20.51,48.77,1000.27
2024-07-02,MF,BMF,MIRAE-ASSET-TAX-SAVER-DIRECT-GROWTH,39.8,50.26,2000.27
2024-08-02,MF,BMF,MIRAE-ASSET-TAX-SAVER-DIRECT-GROWTH,58.41,51.37,3000.37
2024-05-24,MF,BMF,SBI-MAGNUM-TAXGAIN-SCHEME-DIR-GR,2.33,428.89,999.31
2024-07-02,MF,BMF,SBI-MAGNUM-TAXGAIN-SCHEME-DIR-GR,4.53,441.62,2000.56
2024-08-02,MF,BMF,SBI-MAGNUM-TAXGAIN-SCHEME-DIR-GR,6.64,452.01,3001.37
