date,segment,stock_name,holding_quantity,holding_price_avg,holding_amount,close,current_value
2020-05-05,EQ,BHAGERIA,10.0,116.55,1165.5,105.39,1053.9
2020-05-06,EQ,BHAGERIA,10.0,116.55,1165.5,112.72,1127.2
2020-05-07,EQ,BHAGERIA,10.0,116.55,1165.5,109.81,1098.1
2020-05-08,EQ,BHAGERIA,10.0,116.55,1165.5,105.16,1051.6
2020-05-09,EQ,BHAGERIA,10.0,116.55,1165.5,105.16,1051.6
2020-05-10,EQ,BHAGERIA,10.0,116.55,1165.5,105.16,1051.6
2020-05-11,EQ,BHAGERIA,10.0,116.55,1165.5,102.71,1027.1
2020-05-12,EQ,BHAGERIA,10.0,116.55,1165.5,99.66,996.6
2020-05-13,EQ,BHAGERIA,10.0,116.55,1165.5,103.56,1035.6
2020-05-14,EQ,BHAGERIA,10.0,116.55,1165.5,102.57,1025.7
2020-05-15,EQ,BHAGERIA,10.0,116.55,1165.5,100.32,1003.2
2020-05-16,EQ,BHAGERIA,10.0,116.55,1165.5,100.32,1003.2
2020-05-17,EQ,BHAGERIA,10.0,116.55,1165.5,100.32,1003.2
2020-05-18,EQ,BHAGERIA,10.0,116.55,1165.5,94.82,948.2
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5,93.08,1396.2
2020-05-20,EQ,BHAGERIA,15.0,111.03,1665.5,94.54,1418.1
2020-05-21,EQ,BHAGERIA,15.0,111.03,1665.5,97.5,1462.5
2020-05-22,EQ,BHAGERIA,15.0,111.03,1665.5,96.84,1452.6
2020-05-23,EQ,BHAGERIA,15.0,111.03,1665.5,96.84,1452.6
2020-05-24,EQ,BHAGERIA,15.0,111.03,1665.5,96.84,1452.6
2020-05-25,EQ,BHAGERIA,15.0,111.03,1665.5,96.84,1452.6
2020-05-26,EQ,BHAGERIA,15.0,111.03,1665.5,99.99,1499.85
2020-05-27,EQ,BHAGERIA,15.0,111.03,1665.5,101.02,1515.3
2020-05-28,EQ,BHAGERIA,15.0,111.03,1665.5,100.69,1510.35
2020-05-29,EQ,BHAGERIA,15.0,111.03,1665.5,98.91,1483.65
2020-05-30,EQ,BHAGERIA,15.0,111.03,1665.5,98.91,1483.65
2020-05-31,EQ,BHAGERIA,15.0,111.03,1665.5,98.91,1483.65
2020-06-01,EQ,BHAGERIA,15.0,111.03,1665.5,99.8,1497.0
2020-06-02,EQ,BHAGERIA,15.0,111.03,1665.5,105.02,1575.3
2020-06-03,EQ,BHAGERIA,15.0,111.03,1665.5,103.84,1557.6
2020-06-04,EQ,BHAGERIA,15.0,111.03,1665.5,102.9,1543.5
2020-06-05,EQ,BHAGERIA,15.0,111.03,1665.5,104.83,1572.45
2020-06-06,EQ,BHAGERIA,15.0,111.03,1665.5,104.83,1572.45
2020-06-07,EQ,BHAGERIA,15.0,111.03,1665.5,104.83,1572.45
2020-06-08,EQ,BHAGERIA,15.0,111.03,1665.5,102.48,1537.2
2020-06-09,EQ,BHAGERIA,15.0,111.03,1665.5,101.35,1520.25
2020-06-10,EQ,BHAGERIA,15.0,111.03,1665.5,106.05,1590.75
2020-06-11,EQ,BHAGERIA,15.0,111.03,1665.5,103.61,1554.15
2020-06-12,EQ,BHAGERIA,15.0,111.03,1665.5,102.9,1543.5
2020-06-13,EQ,BHAGERIA,15.0,111.03,1665.5,102.9,1543.5
2020-06-14,EQ,BHAGERIA,15.0,111.03,1665.5,102.9,1543.5
2021-08-06,EQ,BPCL,43.0,457.0,19651.0,191.44,8231.92
2021-08-07,EQ,BPCL,43.0,457.0,19651.0,191.44,8231.92
2021-08-08,EQ,BPCL,43.0,457.0,19651.0,191.44,8231.92
2021-08-09,EQ,BPCL,43.0,457.0,19651.0,190.14,8176.02
2021-08-10,EQ,BPCL,43.0,457.0,19651.0,186.86,8034.98
2021-08-11,EQ,BPCL,43.0,457.0,19651.0,189.09,8130.87
2021-08-12,EQ,BPCL,43.0,457.0,19651.0,188.31,8097.33
2021-08-13,EQ,BPCL,43.0,457.0,19651.0,191.15,8219.45
2021-08-14,EQ,BPCL,43.0,457.0,19651.0,191.15,8219.45
2021-08-15,EQ,BPCL,43.0,457.0,19651.0,191.15,8219.45
2021-08-16,EQ,BPCL,43.0,457.0,19651.0,194.97,8383.71
2021-08-17,EQ,BPCL,43.0,457.0,19651.0,195.39,8401.77
2021-08-18,EQ,BPCL,43.0,457.0,19651.0,194.76,8374.68
2021-08-19,EQ,BPCL,43.0,457.0,19651.0,194.76,8374.68
2021-08-20,EQ,BPCL,43.0,457.0,19651.0,191.28,8225.04
2021-08-21,EQ,BPCL,43.0,457.0,19651.0,191.28,8225.04
2021-08-22,EQ,BPCL,43.0,457.0,19651.0,191.28,8225.04
2021-08-23,EQ,BPCL,43.0,457.0,19651.0,189.81,8161.83
2021-08-24,EQ,BPCL,43.0,457.0,19651.0,191.78,8246.54
2021-08-25,EQ,BPCL,43.0,457.0,19651.0,193.59,8324.37
2021-08-26,EQ,BPCL,43.0,457.0,19651.0,196.13,8433.59
2021-08-27,EQ,BPCL,43.0,457.0,19651.0,198.04,8515.72
2021-08-28,EQ,BPCL,43.0,457.0,19651.0,198.04,8515.72
2021-08-29,EQ,BPCL,43.0,457.0,19651.0,198.04,8515.72
2021-08-30,EQ,BPCL,43.0,457.0,19651.0,198.57,8538.51
2021-08-31,EQ,BPCL,43.0,457.0,19651.0,198.19,8522.17
2021-09-01,EQ,BPCL,43.0,457.0,19651.0,200.44,8618.92
2021-09-02,EQ,BPCL,43.0,457.0,19651.0,201.61,8669.23
2021-09-03,EQ,BPCL,43.0,457.0,19651.0,206.45,8877.35
2021-09-04,EQ,BPCL,43.0,457.0,19651.0,206.45,8877.35
2021-09-05,EQ,BPCL,43.0,457.0,19651.0,206.45,8877.35
2021-09-06,EQ,BPCL,43.0,457.0,19651.0,206.24,8868.32
2021-09-07,EQ,BPCL,43.0,457.0,19651.0,202.52,8708.36
2021-09-08,EQ,BPCL,43.0,457.0,19651.0,205.71,8845.53
2021-09-09,EQ,BPCL,43.0,457.0,19651.0,206.38,8874.34
2021-09-10,EQ,BPCL,43.0,457.0,19651.0,206.38,8874.34
2021-09-11,EQ,BPCL,43.0,457.0,19651.0,206.38,8874.34
2021-09-12,EQ,BPCL,43.0,457.0,19651.0,206.38,8874.34
2021-09-13,EQ,BPCL,43.0,457.0,19651.0,209.3,8999.9
2021-09-14,EQ,BPCL,43.0,457.0,19651.0,207.2,8909.6
2021-09-15,EQ,BPCL,43.0,457.0,19651.0,205.88,8852.84
2021-09-16,EQ,BPCL,43.0,457.0,19651.0,198.68,8543.24
2021-09-17,EQ,BPCL,43.0,457.0,19651.0,197.42,8489.06
2021-09-18,EQ,BPCL,43.0,457.0,19651.0,197.42,8489.06
2021-09-19,EQ,BPCL,43.0,457.0,19651.0,197.42,8489.06
2021-09-20,EQ,BPCL,43.0,457.0,19651.0,190.24,8180.32
2021-09-21,EQ,BPCL,43.0,457.0,19651.0,187.26,8052.18
2021-09-22,EQ,BPCL,43.0,457.0,19651.0,190.13,8175.59
2021-09-23,EQ,BPCL,43.0,457.0,19651.0,190.04,8171.72
2021-09-24,EQ,BPCL,43.0,457.0,19651.0,187.71,8071.53
2021-09-25,EQ,BPCL,43.0,457.0,19651.0,187.71,8071.53
2021-09-26,EQ,BPCL,43.0,457.0,19651.0,187.71,8071.53
2021-09-27,EQ,BPCL,43.0,457.0,19651.0,190.33,8184.19
2021-09-28,EQ,BPCL,43.0,457.0,19651.0,194.41,8359.63
2021-09-29,EQ,BPCL,43.0,457.0,19651.0,197.71,8501.53
2021-09-30,EQ,BPCL,43.0,457.0,19651.0,195.58,8409.94
2021-10-01,EQ,BPCL,43.0,457.0,19651.0,195.97,8426.71
2021-10-02,EQ,BPCL,43.0,457.0,19651.0,195.97,8426.71
2021-10-03,EQ,BPCL,43.0,457.0,19651.0,195.97,8426.71
2021-10-04,EQ,BPCL,43.0,457.0,19651.0,197.23,8480.89
2021-10-05,EQ,BPCL,43.0,457.0,19651.0,200.85,8636.55
2021-10-06,EQ,BPCL,43.0,457.0,19651.0,202.37,8701.91
2021-10-07,EQ,BPCL,43.0,457.0,19651.0,203.28,8741.04
2021-10-08,EQ,BPCL,43.0,457.0,19651.0,203.39,8745.77
2021-10-09,EQ,BPCL,43.0,457.0,19651.0,203.39,8745.77
2021-10-10,EQ,BPCL,43.0,457.0,19651.0,203.39,8745.77
2021-10-11,EQ,BPCL,43.0,457.0,19651.0,205.63,8842.09
