date,holding_amount,open_amount,high_amount,low_amount,close_amount
2020-04-21,1051.4,1085.28,1085.28,1029.56,1038.66
2020-04-22,1051.4,1035.86,1065.12,1009.4,1056.02
2020-04-23,1051.4,1067.92,1094.24,1049.02,1052.52
2020-04-24,1051.4,1043.56,1070.02,1029.56,1032.36
2020-04-25,1051.4,1043.56,1070.02,1029.56,1032.36
2020-04-26,1051.4,1043.56,1070.02,1029.56,1032.36
2020-04-27,1051.4,1056.02,1060.22,1040.76,1047.06
2020-04-28,1051.4,1052.52,1088.08,1046.36,1070.58
2020-04-29,1051.4,1077.58,1103.34,1065.12,1087.38
2020-04-30,1051.4,1195.88,1304.38,1195.88,1297.38
2020-05-01,1051.4,1195.88,1304.38,1195.88,1297.38
2020-05-02,1051.4,1195.88,1304.38,1195.88,1297.38
2020-05-03,1051.4,1195.88,1304.38,1195.88,1297.38
2020-05-04,1470.4,1642.74,1646.54,1539.0,1584.22
2020-05-05,2635.9,2696.13,2774.14,2534.9,2581.5
2020-05-06,2635.9,2611.25,2754.17,2562.15,2698.31
2020-05-07,2635.9,2692.61,2756.67,2631.41,2655.91
2020-05-08,2635.9,2720.52,2729.07,2564.55,2582.05
2020-05-09,2635.9,2720.52,2729.07,2564.55,2582.05
2020-05-10,2635.9,2720.52,2729.07,2564.55,2582.05
2020-05-11,2635.9,2574.15,2790.01,2552.0,2652.93
2020-05-12,2635.9,2635.08,2679.84,2556.32,2624.33
2020-05-13,2635.9,2775.67,2807.67,2625.28,2682.14
2020-05-14,2635.9,2600.07,2669.73,2571.76,2608.02
2020-05-15,2635.9,2623.72,2635.88,2559.61,2595.97
2020-05-16,2635.9,2623.72,2635.88,2559.61,2595.97
2020-05-17,2635.9,2623.72,2635.88,2559.61,2595.97
2020-05-18,2635.9,2627.02,2627.02,2408.49,2471.05
2020-05-19,3135.9,2995.56,3082.63,2920.35,2940.71
2020-05-20,3135.9,2931.2,3050.52,2920.75,2993.77
2020-05-21,3135.9,2982.36,3131.08,2967.31,3050.52
2020-05-22,3135.9,3041.61,3074.92,2983.21,3016.11
2020-05-23,3135.9,3041.61,3074.92,2983.21,3016.11
2020-05-24,3135.9,3041.61,3074.92,2983.21,3016.11
2020-05-25,3135.9,3041.61,3074.92,2983.21,3016.11
2020-05-26,3135.9,3074.92,3225.18,3025.06,3069.06
2020-05-27,3135.9,3131.52,3167.43,3046.52,3111.87
2020-05-28,3135.9,3135.78,3201.79,3081.57,3153.09
2020-05-29,3135.9,3108.78,3172.49,3070.12,3126.39
2020-05-30,3135.9,3108.78,3172.49,3070.12,3126.39
2020-05-31,3135.9,3108.78,3172.49,3070.12,3126.39
2020-06-01,3135.9,3162.3,3267.76,3145.39,3188.0
2020-06-02,3135.9,3196.36,3430.15,3188.95,3397.4
2020-06-03,3135.9,3493.82,3521.18,3388.4,3422.26
2020-06-04,3135.9,3450.26,3520.23,3347.3,3403.41
2020-06-05,3135.9,3474.17,3736.69,3438.61,3663.78
2020-06-06,3135.9,3474.17,3736.69,3438.61,3663.78
2020-06-07,3135.9,3474.17,3736.69,3438.61,3663.78
2020-06-08,3135.9,3766.7,3863.79,3669.75,3717.26
2020-06-09,3135.9,3752.03,3817.73,3590.08,3624.69
2020-06-10,3135.9,3618.99,3768.85,3554.17,3694.24
2020-06-11,3135.9,3668.03,3733.89,3533.2,3558.46
2020-06-12,3135.9,3331.96,3570.86,3290.26,3531.85
2020-06-13,3135.9,3331.96,3570.86,3290.26,3531.85
2020-06-14,3135.9,3331.96,3570.86,3290.26,3531.85
2020-06-15,1470.4,1976.0,1976.0,1889.17,1897.72
2020-06-16,1470.4,1926.03,1954.34,1737.17,1789.23
2020-06-17,1470.4,1756.17,1820.2,1733.37,1801.39
