date,segment,stock_name,holding_quantity,holding_price_avg,holding_amount,ltp,current_value,pnl_amount,pnl_percentage
2020-05-05,EQ,BHAGERIA,10.0,116.55,1165.5,112.15,1121.5,-44.0,-3.78
2020-05-06,EQ,BHAGERIA,10.0,116.55,1165.5,119.95,1199.5,34.0,2.92
2020-05-07,EQ,BHAGERIA,10.0,116.55,1165.5,116.85,1168.5,3.0,0.26
2020-05-08,EQ,BHAGERIA,10.0,116.55,1165.5,111.9,1119.0,-46.5,-3.99
2020-05-09,EQ,BHAGERIA,10.0,116.55,1165.5,,,,
2020-05-10,EQ,BHAGERIA,10.0,116.55,1165.5,,,,
2020-05-11,EQ,BHAGERIA,10.0,116.55,1165.5,109.3,1093.0,-72.5,-6.22
2020-05-12,EQ,BHAGERIA,10.0,116.55,1165.5,106.05,1060.5,-105.0,-9.01
2020-05-13,EQ,BHAGERIA,10.0,116.55,1165.5,110.2,1102.0,-63.5,-5.45
2020-05-14,EQ,BHAGERIA,10.0,116.55,1165.5,109.15,1091.5,-74.0,-6.35
2020-05-15,EQ,BHAGERIA,10.0,116.55,1165.5,106.75,1067.5,-98.0,-8.41
2020-05-16,EQ,BHAGERIA,10.0,116.55,1165.5,,,,
2020-05-17,EQ,BHAGERIA,10.0,116.55,1165.5,,,,
2020-05-18,EQ,BHAGERIA,10.0,116.55,1165.5,100.9,1009.0,-156.5,-13.43
2020-05-19,EQ,BHAGERIA,15.0,111.03,1665.5,99.05,1485.75,-179.75,-10.79
2020-05-20,EQ,BHAGERIA,15.0,111.03,1665.5,100.6,1509.0,-156.5,-9.4
2020-05-21,EQ,BHAGERIA,15.0,111.03,1665.5,103.75,1556.25,-109.25,-6.56
2020-05-22,EQ,BHAGERIA,15.0,111.03,1665.5,103.05,1545.75,-119.75,-7.19
2020-05-23,EQ,BHAGERIA,15.0,111.03,1665.5,,,,
2020-05-24,EQ,BHAGERIA,15.0,111.03,1665.5,,,,
2020-05-25,EQ,BHAGERIA,15.0,111.03,1665.5,,,,
2020-05-26,EQ,BHAGERIA,15.0,111.03,1665.5,106.4,1596.0,-69.5,-4.17
2020-05-27,EQ,BHAGERIA,15.0,111.03,1665.5,107.5,1612.5,-53.0,-3.18
2020-05-28,EQ,BHAGERIA,15.0,111.03,1665.5,107.15,1607.25,-58.25,-3.5
2020-05-29,EQ,BHAGERIA,15.0,111.03,1665.5,105.25,1578.75,-86.75,-5.21
2020-05-30,EQ,BHAGERIA,15.0,111.03,1665.5,,,,
2020-05-31,EQ,BHAGERIA,15.0,111.03,1665.5,,,,
2020-06-01,EQ,BHAGERIA,15.0,111.03,1665.5,106.2,1593.0,-72.5,-4.35
2020-06-02,EQ,BHAGERIA,15.0,111.03,1665.5,111.75,1676.25,10.75,0.65
2020-06-03,EQ,BHAGERIA,15.0,111.03,1665.5,110.5,1657.5,-8.0,-0.48
2020-06-04,EQ,BHAGERIA,15.0,111.03,1665.5,109.5,1642.5,-23.0,-1.38
2020-06-05,EQ,BHAGERIA,15.0,111.03,1665.5,111.55,1673.25,7.75,0.47
2020-06-06,EQ,BHAGERIA,15.0,111.03,1665.5,,,,
2020-06-07,EQ,BHAGERIA,15.0,111.03,1665.5,,,,
2020-06-08,EQ,BHAGERIA,15.0,111.03,1665.5,109.05,1635.75,-29.75,-1.79
2020-06-09,EQ,BHAGERIA,15.0,111.03,1665.5,107.85,1617.75,-47.75,-2.87
2020-06-10,EQ,BHAGERIA,15.0,111.03,1665.5,112.85,1692.75,27.25,1.64
2020-06-11,EQ,BHAGERIA,15.0,111.03,1665.5,110.25,1653.75,-11.75,-0.71
2020-06-12,EQ,BHAGERIA,15.0,111.03,1665.5,109.5,1642.5,-23.0,-1.38
2020-06-13,EQ,BHAGERIA,15.0,111.03,1665.5,,,,
2020-06-14,EQ,BHAGERIA,15.0,111.03,1665.5,,,,
2021-08-06,EQ,BPCL,43.0,457.0,19651.0,455.6,19590.8,-60.2,-0.31
2021-08-07,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-08-08,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-08-09,EQ,BPCL,43.0,457.0,19651.0,452.5,19457.5,-193.5,-0.98
2021-08-10,EQ,BPCL,43.0,457.0,19651.0,444.7,19122.1,-528.9,-2.69
2021-08-11,EQ,BPCL,43.0,457.0,19651.0,450.0,19350.0,-301.0,-1.53
2021-08-12,EQ,BPCL,43.0,457.0,19651.0,448.15,19270.45,-380.55,-1.94
2021-08-13,EQ,BPCL,43.0,457.0,19651.0,454.9,19560.7,-90.3,-0.46
2021-08-14,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-08-15,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-08-16,EQ,BPCL,43.0,457.0,19651.0,464.0,19952.0,301.0,1.53
2021-08-17,EQ,BPCL,43.0,457.0,19651.0,465.0,19995.0,344.0,1.75
2021-08-18,EQ,BPCL,43.0,457.0,19651.0,463.5,19930.5,279.5,1.42
2021-08-19,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-08-20,EQ,BPCL,43.0,457.0,19651.0,455.2,19573.6,-77.4,-0.39
2021-08-21,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-08-22,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-08-23,EQ,BPCL,43.0,457.0,19651.0,451.7,19423.1,-227.9,-1.16
2021-08-24,EQ,BPCL,43.0,457.0,19651.0,456.4,19625.2,-25.8,-0.13
2021-08-25,EQ,BPCL,43.0,457.0,19651.0,460.7,19810.1,159.1,0.81
2021-08-26,EQ,BPCL,43.0,457.0,19651.0,466.75,20070.25,419.25,2.13
2021-08-27,EQ,BPCL,43.0,457.0,19651.0,471.3,20265.9,614.9,3.13
2021-08-28,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-08-29,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-08-30,EQ,BPCL,43.0,457.0,19651.0,472.55,20319.65,668.65,3.4
2021-08-31,EQ,BPCL,43.0,457.0,19651.0,471.65,20280.95,629.95,3.21
2021-09-01,EQ,BPCL,43.0,457.0,19651.0,477.0,20511.0,860.0,4.38
2021-09-02,EQ,BPCL,43.0,457.0,19651.0,479.8,20631.4,980.4,4.99
2021-09-03,EQ,BPCL,43.0,457.0,19651.0,491.3,21125.9,1474.9,7.51
2021-09-04,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-09-05,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-09-06,EQ,BPCL,43.0,457.0,19651.0,490.8,21104.4,1453.4,7.4
2021-09-07,EQ,BPCL,43.0,457.0,19651.0,481.95,20723.85,1072.85,5.46
2021-09-08,EQ,BPCL,43.0,457.0,19651.0,489.55,21050.65,1399.65,7.12
2021-09-09,EQ,BPCL,43.0,457.0,19651.0,491.15,21119.45,1468.45,7.47
2021-09-10,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-09-11,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-09-12,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-09-13,EQ,BPCL,43.0,457.0,19651.0,498.1,21418.3,1767.3,8.99
2021-09-14,EQ,BPCL,43.0,457.0,19651.0,493.1,21203.3,1552.3,7.9
2021-09-15,EQ,BPCL,43.0,457.0,19651.0,489.95,21067.85,1416.85,7.21
2021-09-16,EQ,BPCL,43.0,457.0,19651.0,439.05,18879.15,-771.85,-3.93
2021-09-17,EQ,BPCL,43.0,457.0,19651.0,436.25,18758.75,-892.25,-4.54
2021-09-18,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-09-19,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-09-20,EQ,BPCL,43.0,457.0,19651.0,420.4,18077.2,-1573.8,-8.01
2021-09-21,EQ,BPCL,43.0,457.0,19651.0,413.8,17793.4,-1857.6,-9.45
2021-09-22,EQ,BPCL,43.0,457.0,19651.0,420.15,18066.45,-1584.55,-8.06
2021-09-23,EQ,BPCL,43.0,457.0,19651.0,419.95,18057.85,-1593.15,-8.11
2021-09-24,EQ,BPCL,43.0,457.0,19651.0,414.8,17836.4,-1814.6,-9.23
2021-09-25,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-09-26,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-09-27,EQ,BPCL,43.0,457.0,19651.0,420.6,18085.8,-1565.2,-7.96
2021-09-28,EQ,BPCL,43.0,457.0,19651.0,429.6,18472.8,-1178.2,-6.0
2021-09-29,EQ,BPCL,43.0,457.0,19651.0,436.9,18786.7,-864.3,-4.4
2021-09-30,EQ,BPCL,43.0,457.0,19651.0,432.2,18584.6,-1066.4,-5.43
2021-10-01,EQ,BPCL,43.0,457.0,19651.0,433.05,18621.15,-1029.85,-5.24
2021-10-02,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-10-03,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-10-04,EQ,BPCL,43.0,457.0,19651.0,435.85,18741.55,-909.45,-4.63
2021-10-05,EQ,BPCL,43.0,457.0,19651.0,443.85,19085.55,-565.45,-2.88
2021-10-06,EQ,BPCL,43.0,457.0,19651.0,447.2,19229.6,-421.4,-2.14
2021-10-07,EQ,BPCL,43.0,457.0,19651.0,449.2,19315.6,-335.4,-1.71
2021-10-08,EQ,BPCL,43.0,457.0,19651.0,449.45,19326.35,-324.65,-1.65
2021-10-09,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-10-10,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-10-11,EQ,BPCL,43.0,457.0,19651.0,454.4,19539.2,-111.8,-0.57
2021-10-12,EQ,BPCL,43.0,457.0,19651.0,455.25,19575.75,-75.25,-0.38
2021-10-13,EQ,BPCL,43.0,457.0,19651.0,458.65,19721.95,70.95,0.36
2021-10-14,EQ,BPCL,43.0,457.0,19651.0,459.3,19749.9,98.9,0.5
2021-10-15,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-10-16,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-10-17,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-10-18,EQ,BPCL,43.0,457.0,19651.0,462.5,19887.5,236.5,1.2
2021-10-19,EQ,BPCL,43.0,457.0,19651.0,453.05,19481.15,-169.85,-0.86
2021-10-20,EQ,BPCL,43.0,457.0,19651.0,441.1,18967.3,-683.7,-3.48
2021-10-21,EQ,BPCL,43.0,457.0,19651.0,451.05,19395.15,-255.85,-1.3
2021-10-22,EQ,BPCL,43.0,457.0,19651.0,447.25,19231.75,-419.25,-2.13
2021-10-23,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-10-24,EQ,BPCL,43.0,457.0,19651.0,,,,
2021-10-25,EQ,BPCL,43.0,457.0,19651.0,431.7,18563.1,-1087.9,-5.54
2021-10-26,EQ,BPCL,43.0,457.0,19651.0,431.05,18535.15,-1115.85,-5.68
2021-10-27,EQ,BPCL,43.0,457.0,19651.0,427.7,18391.1,-1259.9,-6.41
