exchange,segment,symbol,scrip_name,position,quantity,open_datetime,open_side,open_price,open_amount,close_datetime,close_side,close_price,close_amount,pnl_amount,pnl_percentage,brokerage
NSE,EQ,BHAGERIA,BHAGERI IND,LONG,10.0,2020-05-05 11:31:20,BUY,116.55,1165.5,2020-06-15 10:57:42,SELL,113.0,1130.0,-35.5,-3.05,3.83
NSE,EQ,BHAGERIA,BHAGERI IND,LONG,5.0,2020-05-19 14:44:06,BUY,100.0,500.0,2020-06-15 10:57:42,SELL,113.0,565.0,65.0,13.0,1.77
NSE,EQ,BPCL,BHARAT PETROLEUM CORPORATION L,LONG,43.0,2021-08-06 11:42:14,BUY,457.0,19651.0,2022-08-10 09:26:12,SELL,328.85,14140.55,-5510.45,-28.04,56.71
NSE,EQ,GOLDBEES,GOLDBEES,LONG,2.0,2021-02-09 14:25:00,BUY,41.82,83.64,2021-06-04 12:10:54,SELL,42.03,84.06,0.42,0.5,0.28
NSE,EQ,HERANBA,HERANBA INDUSTRIES LIMITED,LONG,12.0,2021-03-04 00:00:00,BUY,627.0,7524.0,2021-03-05 15:24:27,SELL,820.0,9840.0,2316.0,30.78,28.75
NSE,EQ,HERANBA,HERANBA INDUSTRIES LIMITED,LONG,11.0,2021-03-04 00:00:00,BUY,627.0,6897.0,2021-03-09 10:38:35,SELL,775.0,8525.0,1628.0,23.6,25.57
NSE,EQ,IDEA,VODAFONE IDEA LTD,LONG,20.0,2020-07-29 14:14:01,BUY,8.2,164.0,2021-06-14 13:21:53,SELL,9.65,193.0,29.0,17.68,0.59
NSE,EQ,IDEA,VODAFONE IDEA LTD,LONG,50.0,2020-07-30 15:15:54,BUY,7.95,397.5,2021-06-14 13:21:53,SELL,9.65,482.5,85.0,21.38,1.46
NSE,EQ,INFY,INFOSYS LTD.,LONG,3.0,2021-04-12 10:50:01,BUY,1434.6,4303.8,2021-06-14 13:23:56,SELL,1457.0,4371.0,67.2,1.56,14.45
NSE,EQ,INFY,INFOSYS LTD.,LONG,5.0,2021-04-12 10:55:51,BUY,1433.95,7169.75,2021-06-14 13:23:56,SELL,1457.0,7285.0,115.25,1.61,24.07
NSE,EQ,LICI,LIFE INSURANCE CORPORATION,LONG,15.0,2022-05-13 00:00:00,BUY,904.0,13560.0,2022-08-10 09:27:00,SELL,684.35,10265.25,-3294.75,-24.3,39.94
