exchange,segment,symbol,scrip_name,position,quantity,open_datetime,open_side,open_price,open_amount,close_datetime,close_side,close_price,close_amount,pnl_amount,pnl_percentage,brokerage
NSE,EQ,AWL,ADANI WILMAR LIMITED,LONG,25.0,2022-02-07 00:00:00,BUY,230.0,5750.0,2022-02-10 15:26:49,SELL,386.25,9656.25,3906.25,67.93,25.37
NSE,EQ,BANKBARODA,BANK OF BARODA,LONG,1.0,2021-10-28 00:00:00,BUY,100.2,100.2,2021-11-08 00:00:00,SELL,103.2,103.2,3.0,2.99,0.34
NSE,EQ,CAMPUS,CAMPUS ACTIVEWEAR LIMITED,LONG,5.0,2022-05-09 00:00:00,BUY,340.0,1700.0,2022-07-06 00:00:00,SELL,346.55,1732.75,32.75,1.93,5.72
NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,20.0,2021-12-30 00:00:00,BUY,6.17,123.4,2022-02-11 00:00:00,SELL,7.95,159.0,35.6,28.85,0.47
NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,210.0,2021-12-31 00:00:00,BUY,6.47,1358.7,2022-02-11 00:00:00,SELL,7.95,1669.5,310.8,22.87,5.02
NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,20.0,2022-01-03 00:00:00,BUY,6.79,135.8,2022-02-11 00:00:00,SELL,7.95,159.0,23.2,17.08,0.49
NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,25.0,2022-01-03 00:00:00,BUY,6.79,169.75,2022-03-17 00:00:00,SELL,12.83,320.75,151.0,88.95,0.81
NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,LONG,25.0,2022-01-03 00:00:00,BUY,6.79,169.75,2024-01-19 00:00:00,SELL,24.0,600.0,430.25,253.46,1.25
NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,10.0,2021-11-24 00:00:00,BUY,7.35,73.5,2021-12-27 00:00:00,SELL,10.75,107.5,34.0,46.26,0.3
NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,14.0,2021-11-25 00:00:00,BUY,8.65,121.1,2021-12-27 00:00:00,SELL,10.75,150.5,29.4,24.28,0.45
NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,476.0,2021-11-29 00:00:00,BUY,10.8,5140.8,2021-12-27 00:00:00,SELL,10.75,5117.0,-23.8,-0.46,17.09
NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,324.0,2021-11-29 00:00:00,BUY,10.8,3499.2,2022-01-03 00:00:00,SELL,12.84,4160.16,660.96,18.89,12.71
NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,1.0,2021-11-29 00:00:00,BUY,10.8,10.8,2024-01-18 00:00:00,SELL,40.2,40.2,29.4,272.22,0.08
NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,LONG,34.0,2021-11-29 00:00:00,BUY,10.8,367.2,2024-07-04 00:00:00,SELL,63.17,2147.78,1780.58,484.91,4.06
NSE,EQ,DATAPATTNS,DATA PATTERNS INDIA LTD,LONG,2.0,2021-12-24 00:00:00,BUY,796.0,1592.0,2022-08-12 00:00:00,SELL,832.0,1664.0,72.0,4.52,5.42
NSE,EQ,EXIDEIND,EXIDE INDUSTRIES LTD,LONG,50.0,2021-12-22 00:00:00,BUY,158.25,7912.5,2021-12-22 16:00:00,SELL,159.3,7965.0,52.5,0.66,26.45
NSE,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,LONG,200.0,2021-11-29 00:00:00,BUY,9.25,1850.0,2023-09-07 00:00:00,SELL,13.7,2740.0,890.0,48.11,7.58
NSE,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,LONG,300.0,2021-11-29 00:00:00,BUY,9.25,2775.0,2023-11-20 00:00:00,SELL,23.2,6960.0,4185.0,150.81,15.9
NSE,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,LONG,100.0,2022-01-21 00:00:00,BUY,22.05,2205.0,2023-11-20 00:00:00,SELL,23.2,2320.0,115.0,5.22,7.53
NSE,EQ,JPPOWER,JAIPRAKASH POWER VEN. LTD,LONG,20.0,2021-12-20 00:00:00,BUY,4.8,96.0,2022-05-25 00:00:00,SELL,7.0,140.0,44.0,45.83,0.39
NSE,EQ,JPPOWER,JAIPRAKASH POWER VEN. LTD,LONG,30.0,2021-12-21 00:00:00,BUY,5.0,150.0,2022-05-25 00:00:00,SELL,7.0,210.0,60.0,40.0,0.6
NSE,EQ,JPPOWER,JAIPRAKASH POWER VEN. LTD,LONG,50.0,2021-12-29 00:00:00,BUY,6.65,332.5,2022-05-25 00:00:00,SELL,7.0,350.0,17.5,5.26,1.14
NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,LONG,3.0,2021-11-15 00:00:00,BUY,8.3,24.9,2022-02-28 00:00:00,SELL,12.62,37.86,12.96,52.05,0.1
