datetime,exchange,segment,stock_name,scrip_code,expiry_date,side,quantity,price,amount,holding_quantity,avg_price,holding_amount,pnl_amount,pnl_percentage
2020-05-05 11:31:20,NSE,EQ,BHAGERIA,0,,BUY,10.0,116.55,1165.5,0,0,0,0,0
2020-05-19 14:44:06,NSE,EQ,BHAGERIA,0,,BUY,5.0,100.0,500.0,0,0,0,0,0
2020-06-15 10:57:42,NSE,EQ,BHAGERIA,0,,SELL,15.0,113.0,1695.0,0,0,0,0,0
2021-08-06 11:42:14,NSE,EQ,BPCL,0,,BUY,43.0,457.0,19651.0,0,0,0,0,0
2022-08-10 09:26:12,NSE,EQ,BPCL,0,,SELL,43.0,328.85,14140.55,0,0,0,0,0
2021-02-09 14:25:00,NSE,EQ,GOLDBEES,0,,BUY,2.0,41.82,83.64,0,0,0,0,0
2021-06-04 12:10:54,NSE,EQ,GOLDBEES,0,,SELL,2.0,42.03,84.06,0,0,0,0,0
2021-03-04 00:00:00,NSE,EQ,HERANBA,0,,BUY,23.0,627.0,14421.0,0,0,0,0,0
2021-03-05 15:24:27,NSE,EQ,HERANBA,0,,SELL,12.0,820.0,9840.0,0,0,0,0,0
2021-03-09 10:38:35,NSE,EQ,HERANBA,0,,SELL,11.0,775.0,8525.0,0,0,0,0,0
2020-07-29 14:14:01,NSE,EQ,IDEA,0,,BUY,20.0,8.2,164.0,0,0,0,0,0
2020-07-30 15:15:54,NSE,EQ,IDEA,0,,BUY,50.0,7.95,397.5,0,0,0,0,0
2021-06-14 13:21:53,NSE,EQ,IDEA,0,,SELL,70.0,9.65,675.5,0,0,0,0,0
2021-04-12 10:50:01,NSE,EQ,INFY,0,,BUY,3.0,1434.6,4303.8,0,0,0,0,0
2021-04-12 10:55:51,NSE,EQ,INFY,0,,BUY,5.0,1433.95,7169.75,0,0,0,0,0
2021-06-14 13:23:56,NSE,EQ,INFY,0,,SELL,8.0,1457.0,11656.0,0,0,0,0,0
2024-06-04 12:19:21,NSE,EQ,IRCTC,0,,BUY,3.0,896.2,2688.6,0,0,0,0,0
2024-06-13 13:58:03,NSE,EQ,KPITTECH,0,,BUY,2.0,1500.0,3000.0,0,0,0,0,0
2022-05-13 00:00:00,NSE,EQ,LICI,0,,BUY,15.0,904.0,13560.0,0,0,0,0,0
2022-08-10 09:27:00,NSE,EQ,LICI,0,,SELL,15.0,684.35,10265.25,0,0,0,0,0
2021-02-09 14:25:00,NSE,EQ,NIFTYBEES,0,,BUY,1.0,162.52,162.52,0,0,0,0,0
2021-06-14 13:19:01,NSE,EQ,NIFTYBEES,0,,SELL,1.0,168.95,168.95,0,0,0,0,0
2020-07-29 14:12:52,NSE,EQ,PNB,0,,BUY,30.0,32.95,988.5,0,0,0,0,0
2021-06-14 13:20:29,NSE,EQ,PNB,0,,SELL,30.0,41.45,1243.5,0,0,0,0,0
2021-05-10 11:04:16,NSE,EQ,SBIN,0,,BUY,14.0,365.0,5110.0,0,0,0,0,0
2021-06-04 12:15:06,NSE,EQ,SBIN,0,,SELL,14.0,436.0,6104.0,0,0,0,0,0
2021-06-15 13:16:17,NSE,EQ,TATACHEM,0,,BUY,20.0,751.2,15024.0,0,0,0,0,0
2022-08-10 09:33:26,NSE,EQ,TATACHEM,0,,SELL,20.0,1030.0,20600.0,0,0,0,0,0
2020-04-21 14:41:30,NSE,EQ,TATAMOTORS,0,,BUY,14.0,75.1,1051.4,0,0,0,0,0
2020-05-04 14:33:45,NSE,EQ,TATAMOTORS,0,,BUY,5.0,83.8,419.0,0,0,0,0,0
2020-07-03 13:31:19,NSE,EQ,TATAMOTORS,0,,BUY,15.0,104.0,1560.0,0,0,0,0,0
2021-04-12 10:44:33,NSE,EQ,TATAMOTORS,0,,BUY,26.0,295.0,7670.0,0,0,0,0,0
