date,stock_name,event,value
2020-08-20,BHAGERIA,DIVIDENDS,3.0
2021-07-22,BHAGERIA,DIVIDENDS,3.5
2022-07-21,BHAGERIA,DIVIDENDS,4.0
2023-09-01,BHAGERIA,DIVIDENDS,1.0
2020-03-23,BPCL,DIVIDENDS,8.25
2021-02-17,BPCL,DIVIDENDS,8.0
2021-03-25,BPCL,DIVIDENDS,2.5
2021-09-16,BPCL,DIVIDENDS,17.5
2021-11-11,BPCL,DIVIDENDS,2.5
2022-02-10,BPCL,DIVIDENDS,2.5
2022-08-19,BPCL,DIVIDENDS,3.0
2023-08-11,BPCL,DIVIDENDS,2.0
2023-12-12,BPCL,DIVIDENDS,10.5
2024-06-21,BPCL,STOCK_SPLITS,2.0
2021-09-06,HERANBA,DIVIDENDS,0.7
2022-07-19,HERANBA,DIVIDENDS,2.0
2023-08-17,HERANBA,DIVIDENDS,1.25
2020-05-29,INFY,DIVIDENDS,9.5
2020-10-23,INFY,DIVIDENDS,12.0
2021-05-31,INFY,DIVIDENDS,15.0
2021-10-26,INFY,DIVIDENDS,15.0
2022-05-31,INFY,DIVIDENDS,16.0
2022-10-27,INFY,DIVIDENDS,16.5
2023-06-02,INFY,DIVIDENDS,17.5
2023-10-25,INFY,DIVIDENDS,18.0
2024-05-31,INFY,DIVIDENDS,8.0
2020-02-24,IRCTC,DIVIDENDS,2.0
2020-10-19,IRCTC,DIVIDENDS,0.5
2021-09-21,IRCTC,DIVIDENDS,1.0
2021-10-28,IRCTC,STOCK_SPLITS,5.0
2022-02-17,IRCTC,DIVIDENDS,2.0
2022-08-18,IRCTC,DIVIDENDS,1.5
2023-02-22,IRCTC,DIVIDENDS,3.5
2023-08-18,IRCTC,DIVIDENDS,2.0
2023-11-17,IRCTC,DIVIDENDS,2.5
2020-02-17,KPITTECH,DIVIDENDS,0.55
2020-03-19,KPITTECH,DIVIDENDS,0.45
2021-08-17,KPITTECH,DIVIDENDS,1.5
2022-02-10,KPITTECH,DIVIDENDS,1.25
2022-08-12,KPITTECH,DIVIDENDS,1.85
2023-02-10,KPITTECH,DIVIDENDS,1.45
2023-08-14,KPITTECH,DIVIDENDS,2.65
2024-02-09,KPITTECH,DIVIDENDS,2.1
2022-08-25,LICI,DIVIDENDS,1.5
2023-07-20,LICI,DIVIDENDS,3.0
2023-07-21,LICI,DIVIDENDS,3.0
2024-02-21,LICI,DIVIDENDS,4.0
2024-07-19,LICI,DIVIDENDS,6.0
2022-06-22,PNB,DIVIDENDS,0.64
2023-06-23,PNB,DIVIDENDS,0.65
2024-06-21,PNB,DIVIDENDS,1.5
2021-06-03,SBIN,DIVIDENDS,4.0
2022-05-25,SBIN,DIVIDENDS,7.1
2023-05-31,SBIN,DIVIDENDS,11.3
2024-05-22,SBIN,DIVIDENDS,13.7
2020-06-22,TATACHEM,DIVIDENDS,11.0
2021-06-14,TATACHEM,DIVIDENDS,10.0
2021-06-15,TATACHEM,DIVIDENDS,10.0
2022-06-15,TATACHEM,DIVIDENDS,12.5
2023-06-14,TATACHEM,DIVIDENDS,17.5
2024-06-12,TATACHEM,DIVIDENDS,15.0
2023-07-28,TATAMOTORS,DIVIDENDS,2.0
2024-06-11,TATAMOTORS,DIVIDENDS,3.0
2020-07-14,TATAPOWER,DIVIDENDS,1.55
2021-06-17,TATAPOWER,DIVIDENDS,1.55
2022-06-15,TATAPOWER,DIVIDENDS,1.75
2023-06-07,TATAPOWER,DIVIDENDS,2.0
2024-07-04,TATAPOWER,DIVIDENDS,2.0
2020-08-05,VOLTAS,DIVIDENDS,4.0
2021-08-11,VOLTAS,DIVIDENDS,5.0
2022-06-09,VOLTAS,DIVIDENDS,5.5
2023-06-09,VOLTAS,DIVIDENDS,4.25
2024-06-25,VOLTAS,DIVIDENDS,5.5
