date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price
2020-04-21,TATA MOTORS,1051.4,NSE,EQ,500570,Equity,0,,123.0,14:41:30,Buy,14,75.1
2020-05-04,TATA MOTORS,419.0,NSE,EQ,500570,Equity,0,,123.0,14:33:45,Buy,5,83.8
2020-05-05,BHAGERI IND,1165.5,NSE,EQ,530803,Equity,0,,123.0,11:31:20,Buy,10,116.55
2020-05-19,BHAGERI IND,500.0,NSE,EQ,530803,Equity,0,,123.0,14:44:06,Buy,5,100.0
2020-06-15,BHAGERI IND,1695.0,NSE,EQ,530803,Equity,0,,123.0,10:57:42,Sell,15,113.0
2020-07-03,TATA MOTORS,1560.0,NSE,EQ,500570,Equity,0,,123.0,13:31:19,Buy,15,104.0
2020-07-27,YES BANK LTD,1230.0,NSE,EQ,532648,Equity,0,,123.0,10:47:51,Buy,100,12.3
2020-07-29,YES BANK LTD,587.5,NSE,EQ,532648,Equity,0,,123.0,14:11:01,Buy,50,11.75
2020-07-29,PUNJAB NATBK,988.5,NSE,EQ,532461,Equity,0,,123.0,14:12:52,Buy,30,32.95
2020-07-29,VODAFONE IDEA LTD,164.0,NSE,EQ,532822,Equity,0,,123.0,14:14:01,Buy,20,8.2
2020-07-30,VODAFONE IDEA LTD,397.5,NSE,EQ,532822,Equity,0,,123.0,15:15:54,Buy,50,7.95
2021-02-08,TATA POWER,6480.0,NSE,EQ,500400,Equity,0,,123.0,11:39:33,Buy,72,90.0
2021-02-09,GOLDBEES,83.64,NSE,EQ,590095,Equity,0,,123.0,14:25:00,Buy,2,41.82
2021-02-09,NIFTY BEES,162.52,NSE,EQ,590103,Equity,0,,123.0,14:25:00,Buy,1,162.52
2021-02-22,TATA POWER,2970.0,NSE,EQ,500400,Equity,0,,123.0,11:44:35,Buy,33,90.0
2021-03-04,Heranba Industries Limited,14421.0,NSE,EQ,543266,Equity,0,,,,Buy,23,627.0
2021-03-05,Heranba Industries Limited,9840.0,NSE,EQ,543266,Equity,0,,123.0,15:24:27,Sell,12,820.0
2021-03-09,Heranba Industries Limited,8525.0,NSE,EQ,543266,Equity,0,,123.0,10:38:35,Sell,11,775.0
2021-04-12,TATA MOTORS,7670.0,NSE,EQ,500570,Equity,0,,123.0,10:44:33,Buy,26,295.0
2021-04-12,INFOSYS LTD.,4303.8,NSE,EQ,500209,Equity,0,,123.0,10:50:01,Buy,3,1434.6
2021-04-12,INFOSYS LTD.,7169.75,NSE,EQ,500209,Equity,0,,123.0,10:55:51,Buy,5,1433.95
2021-05-10,STATE BANK OF INDIA,5110.0,NSE,EQ,500112,Equity,0,,123.0,11:04:16,Buy,14,365.0
2021-06-04,GOLDBEES,84.06,NSE,EQ,590095,Equity,0,,123.0,12:10:54,Sell,2,42.03
2021-06-04,STATE BANK OF INDIA,6104.0,NSE,EQ,500112,Equity,0,,123.0,12:15:06,Sell,14,436.0
2021-06-14,NIFTY BEES,168.95,NSE,EQ,590103,Equity,0,,123.0,13:19:01,Sell,1,168.95
2021-06-14,PUNJAB NATBK,1243.5,NSE,EQ,532461,Equity,0,,123.0,13:20:29,Sell,30,41.45
2021-06-14,VODAFONE IDEA LTD,675.5,NSE,EQ,532822,Equity,0,,123.0,13:21:53,Sell,70,9.65
2021-06-14,INFOSYS LTD.,11656.0,NSE,EQ,500209,Equity,0,,123.0,13:23:56,Sell,8,1457.0
2021-06-15,TATA CHEMICALS LTD.,15024.0,NSE,EQ,500770,Equity,0,,123.0,13:16:17,Buy,20,751.2
2021-06-15,VOLTAS LTD,4236.0,NSE,EQ,500575,Equity,0,,123.0,13:36:57,Buy,4,1059.0
2021-08-06,BHARAT PETROLEUM CORPORATION L,19651.0,NSE,EQ,500547,Equity,0,,123.0,11:42:14,Buy,43,457.0
2021-11-10,YES BANK LTD,1950.0,NSE,EQ,532648,Equity,0,,123.0,13:16:26,Sell,150,13.0
2022-05-11,TATA MOTORS,15400.0,NSE,EQ,500570,Equity,0,,123.0,11:50:35,Buy,40,385.0
2022-05-11,TATA POWER,14384.0,NSE,EQ,500400,Equity,0,,123.0,11:58:14,Buy,64,224.75
2022-05-13,Life Insurance Corporation,13560.0,NSE,EQ,543526,Equity,0,,,,Buy,15,904.0
2022-08-10,VOLTAS LTD,3944.0,NSE,EQ,500575,Equity,0,,123.0,09:15:00,Sell,4,986.0
2022-08-10,BHARAT PETROLEUM CORPORATION L,14140.55,NSE,EQ,500547,Equity,0,,123.0,09:26:12,Sell,43,328.85
2022-08-10,Life Insurance Corporation,10265.25,NSE,EQ,543526,Equity,0,,123.0,09:27:00,Sell,15,684.35
2022-08-10,TATA POWER,4372.85,NSE,EQ,500400,Equity,0,,123.0,09:30:24,Sell,19,230.15
2022-08-10,TATA CHEMICALS LTD.,20600.0,NSE,EQ,500770,Equity,0,,123.0,09:33:26,Sell,20,1030.0
2024-06-04,Indian Railway Catering and To,2688.6,NSE,EQ,542830,Equity,0,,32326896.0,12:19:21,Buy,3,896.2
2024-06-13,KPIT Technologies Ltd,3000.0,NSE,EQ,542651,Equity,0,,55207344.0,13:58:03,Buy,2,1500.0
