datetime,exchange,segment,symbol,scrip_name,side,amount,quantity,price,expiry_date
2022-02-07 00:00:00,NSE,EQ,AWL,Adani Wilmar Ltd,BUY,14950.0,65,230.0,
2022-02-10 15:26:49,NSE,EQ,AWL,Adani Wilmar Ltd,SELL,9656.25,25,386.25,
2021-10-28 00:00:00,NSE,EQ,BANKBARODA,BANK OF BARODA,BUY,100.2,1,100.2,
2021-11-08 00:00:00,NSE,EQ,BANKBARODA,BANK OF BARODA,SELL,103.2,1,103.2,
2021-12-22 00:00:00,NSE,EQ,BCG,Brightcom Group Ltd,BUY,3717.0,20,185.85,
2021-12-24 00:00:00,NSE,EQ,BCG,Brightcom Group Ltd,BUY,4000.0,20,200.0,
2022-01-06 00:00:00,NSE,EQ,BCG,Brightcom Group Ltd,BUY,1500.0,10,150.0,
2022-01-06 00:00:00,NSE,EQ,BCG,Brightcom Group Ltd,BUY,6032.0,40,150.8,
2022-01-06 00:00:00,NSE,EQ,BCG,Brightcom Group Ltd,BUY,773.0,5,154.6,
2022-01-25 00:00:00,NSE,EQ,BCG,Brightcom Group Ltd,BUY,854.5,5,170.9,
2022-02-11 00:00:00,NSE,EQ,BCG,Brightcom Group Ltd,BUY,316.1,2,158.05,
2022-03-16 00:00:00,NSE,EQ,BCG,Brightcom Group Ltd,BUY,0.0,68,0.0,
2022-05-09 00:00:00,NSE,EQ,CAMPUS,Campus Activewear Ltd,BUY,1700.0,5,340.0,
2022-07-06 00:00:00,NSE,EQ,CAMPUS,Campus Activewear Ltd,SELL,1732.75,5,346.55,
2021-12-30 00:00:00,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,BUY,123.4,20,6.17,
2021-12-31 00:00:00,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,BUY,1358.7,210,6.47,
2022-01-03 00:00:00,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,BUY,475.3,70,6.79,
2022-02-11 00:00:00,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,SELL,1987.5,250,7.95,
2022-03-17 00:00:00,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,SELL,320.75,25,12.83,
2024-01-19 00:00:00,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,SELL,600.0,25,24.0,
2021-11-24 00:00:00,NSE,EQ,CTL,Capital Trade Links Ltd,BUY,73.5,10,7.35,
2021-11-25 00:00:00,NSE,EQ,CTL,Capital Trade Links Ltd,BUY,121.1,14,8.65,
2021-11-29 00:00:00,NSE,EQ,CTL,Capital Trade Links Ltd,BUY,10800.0,1000,10.8,
2021-12-27 00:00:00,NSE,EQ,CTL,Capital Trade Links Ltd,SELL,5375.0,500,10.75,
2022-01-03 00:00:00,NSE,EQ,CTL,Capital Trade Links Ltd,SELL,4160.16,324,12.84,
2024-01-18 00:00:00,NSE,EQ,CTL,Capital Trade Links Ltd,SELL,40.2,1,40.2,
2024-07-04 00:00:00,NSE,EQ,CTL,Capital Trade Links Ltd,SELL,2147.78,34,63.17,
2021-12-24 00:00:00,NSE,EQ,DATAPATTNS,Data Patterns (India) Ltd,BUY,1592.0,2,796.0,
2022-08-12 00:00:00,NSE,EQ,DATAPATTNS,Data Patterns (India) Ltd,SELL,1664.0,2,832.0,
2024-06-21 00:00:00,NSE,EQ,DEEPAKNTR,DEEPAK NITRITE LTD.-$,BUY,2546.0,1,2546.0,
2021-12-22 00:00:00,NSE,EQ,EXIDEIND,EXIDE INDUSTRIES LTD.,BUY,7912.5,50,158.25,
2021-12-22 16:00:00,NSE,EQ,EXIDEIND,EXIDE INDUSTRIES LTD.,SELL,7965.0,50,159.3,
2022-01-05 00:00:00,NSE,EQ,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,BUY,972.0,150,6.48,
2022-01-31 00:00:00,NSE,EQ,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,BUY,1012.5,150,6.75,
2022-01-03 00:00:00,NSE,EQ,GITARENEW,Gita Renewable Energy Ltd,BUY,1332.0,5,266.4,
2022-02-01 00:00:00,NSE,EQ,GRAVITA,GRAVITA INDIA LTD.,BUY,3714.5,10,371.45,
2021-11-29 00:00:00,NSE,EQ,GREENPOWER,ORIENT GREEN POWER COMPANY LTD.,BUY,4625.0,500,9.25,
2022-01-21 00:00:00,NSE,EQ,GREENPOWER,ORIENT GREEN POWER COMPANY LTD.,BUY,4410.0,200,22.05,
2023-09-07 00:00:00,NSE,EQ,GREENPOWER,ORIENT GREEN POWER COMPANY LTD.,SELL,2740.0,200,13.7,
2023-09-29 00:00:00,NSE,EQ,GREENPOWER,ORIENT GREEN POWER COMPANY LTD.,BUY,0.0,214,0.0,
2023-11-20 00:00:00,NSE,EQ,GREENPOWER,ORIENT GREEN POWER COMPANY LTD.,SELL,9280.0,400,23.2,
2024-08-27 00:00:00,NSE,EQ,GREENPOWER_RE,ORIENT GREEN POWER COMPANY LTD. (RE),BUY,0.0,61,0.0,
2024-08-27 15:00:00,NSE,EQ,GREENPOWER_RE,ORIENT GREEN POWER COMPANY LTD. (RE),SELL,392.23,61,6.43,
2021-12-15 00:00:00,NSE,EQ,HFCL,HFCL Ltd,BUY,825.5,10,82.55,
2021-12-21 00:00:00,NSE,EQ,HFCL,HFCL Ltd,BUY,1154.25,15,76.95,
2022-02-01 00:00:00,NSE,EQ,HFCL,HFCL Ltd,BUY,424.75,5,84.95,
2024-06-21 00:00:00,NSE,EQ,IDFCFIRSTB,IDFC First Bank Ltd,BUY,1920.5,23,83.5,
2021-12-20 00:00:00,NSE,EQ,JPPOWER,Jaiprakash Power Ventures Limited,BUY,96.0,20,4.8,
2021-12-21 00:00:00,NSE,EQ,JPPOWER,Jaiprakash Power Ventures Limited,BUY,150.0,30,5.0,
