datetime,exchange,segment,symbol,scrip_name,side,amount,quantity,price,expiry_date
2021-10-26 00:00:00,NSE,EQ,PNB,PUNJAB NATIONAL BANK,BUY,90.7,2.0,45.35,
2021-10-28 00:00:00,NSE,EQ,BANKBARODA,BANK OF BARODA,BUY,100.2,1.0,100.2,
2021-11-08 00:00:00,NSE,EQ,BANKBARODA,BANK OF BARODA,SELL,103.2,1.0,103.2,
2021-11-15 00:00:00,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,BUY,24.9,3.0,8.3,
2021-11-22 00:00:00,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,BUY,67.55,7.0,9.65,
2021-11-24 00:00:00,NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,BUY,73.5,10.0,7.35,
2021-11-24 00:00:00,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,BUY,996.3,90.0,11.07,
2021-11-25 00:00:00,NSE,EQ,CTL,CAPITAL TRADE LINKS LTD,BUY,121.1,14.0,8.65,
2021-11-25 00:00:00,NSE,EQ,YAMNINV,YAMINI INVESTMENTS COMPANY LTD,BUY,97.0,100.0,0.97,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),BUY,676.2,7.0,96.6,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),BUY,694.4,7.0,99.2,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),BUY,1292.85,13.0,99.45,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),BUY,4044.15,43.0,94.05,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),BUY,4862.5,50.0,97.25,
2021-11-26 00:00:00,NSE,EQ,TTML,TATA TELESERV(MAHARASTRA),SELL,10200.0,100.0,102.0,
2021-11-26 00:00:00,NSE,EQ,VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,BUY,90.0,100.0,0.9,
2021-11-26 00:00:00,NSE,EQ,VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,BUY,93.0,100.0,0.93,
2021-11-26 00:00:00,NSE,EQ,VIRTUALG,VIRTUAL GLOBAL EDUCATION LTD.,BUY,94.0,100.0,0.94,
