segment,exchange,symbol,min_date,max_date,isin
EQ,NSE,ADANIPORTS,2022-04-25,2024-12-05,INE742F01042
EQ,NSE,BAJAJHFL,2024-09-13,2024-12-05,INE377Y01014
EQ,NSE,BECTORFOOD,2020-12-23,2024-12-05,INE495P01012
EQ,NSE,CARTRADE,2021-08-17,2024-12-05,INE290S01011
EQ,NSE,HAPPSTMNDS,2020-09-16,2020-09-16,INE419U01012
EQ,NSE,ICICIB22,2019-11-27,2024-12-05,INF109KB15Y7
EQ,NSE,IDEA,2024-01-01,2024-12-05,INE669E01016
EQ,NSE,IRCTC,2024-06-04,2024-12-05,INE335Y01020
EQ,NSE,IRFC,2024-03-07,2024-12-05,INE053F01010
EQ,NSE,KPITTECH,2024-06-13,2024-12-05,INE04I401011
EQ,NSE,SBICARD,2020-03-16,2024-12-05,INE018E01016
EQ,NSE,SBIN,2020-01-10,2020-07-16,INE062A01020
EQ,NSE,SYNCOMF,2024-03-07,2024-12-05,INE312C01025
EQ,NSE,TATAMOTORS,2021-07-22,2023-05-22,INE155A01022
EQ,NSE,TATAPOWER,2022-01-12,2024-12-05,INE245A01021
EQ,NSE,TCS,2022-08-23,2024-12-05,INE467B01029
EQ,NSE,UNITDSPR,2024-11-19,2024-12-05,INE854D01024
MF,BMF,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,2021-07-13,2024-12-05,INF179K01WM1
MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,2024-05-24,2024-12-05,INF769K01DM9
MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,2024-05-24,2024-12-05,INF200K01UM9
