trade_date,debit,credit
2020-04-21,1052.56,
2020-05-04,419.06,
2020-05-05,1166.68,
2020-05-19,501.08,
2020-06-15,,1670.92
2020-07-03,1562.3,
2020-07-27,1231.06,
2020-07-29,1742.08,
2020-07-30,397.52,
2021-02-08,6487.27,
2021-02-09,246.18,
2021-02-22,2973.13,
2021-03-05,,9807.76
2021-03-09,,8493.82
2021-04-12,19166.36,
2021-05-10,5116.23,
2021-06-04,,6138.13
2021-06-14,,13642.06
2021-06-15,19282.81,
2021-08-06,19674.83,
2021-11-10,,1926.08
2022-05-11,29819.26,
2022-08-10,,53158.26
2024-05-24,,
2024-06-04,2691.72,
2024-06-13,,22.51
2024-06-13,3003.13,
2024-06-14,,29.56
2024-06-18,,338.28
2024-06-19,,900.08
2024-06-20,887.53,
2024-06-21,,2527.51
2024-06-24,,259.85
2024-06-25,,139.77
2024-06-26,11010.54,
2024-06-27,,17523.91
2024-06-28,,1148.88
2024-07-01,,798.94
2024-07-02,,2199.36
2024-07-02,,
2024-07-03,5218.83,
2024-07-04,,17.79
2024-07-05,,2135.99
2024-07-08,12030.68,
2024-07-09,,18283.34
2024-07-10,,1608.83
2024-07-11,5689.72,
2024-07-15,33.02,
2024-07-16,7439.07,
2024-07-18,,11916.27
2024-07-22,,26.15
2024-07-23,9714.99,
2024-07-26,,1450.22
2024-07-29,5832.78,
2024-07-30,1086.91,
2024-07-31,260.6,
2024-08-01,241.12,
2024-08-02,3144.97,
2024-08-02,,
2024-08-05,,725.96
2024-08-06,868.85,
2024-08-07,2169.72,
2024-08-08,,1325.4
2024-08-09,1457.51,
2024-08-12,,1232.16
2024-08-13,,199.59
2024-08-14,711.61,
2024-08-19,,75.55
2024-08-20,1282.92,
2024-08-21,,100.94
2024-08-22,2259.74,
2024-08-23,299.95,
2024-08-27,1811.42,
2024-08-28,,2972.62
2024-08-29,,5795.93
2024-09-02,627.71,
2024-09-02,,
2024-09-03,322.31,
2024-09-04,35.64,
2024-09-05,559.79,
2024-09-09,36.36,
2024-09-10,,836.49
2024-09-11,6570.64,
2024-09-12,,10887.96
2024-09-13,,40.62
2024-09-16,6527.44,
2024-09-18,6027.15,
2024-09-19,,19511.33
2024-09-20,,1762.37
2024-09-24,499.66,
2024-09-25,,3257.18
2024-09-26,,3147.77
2024-10-01,7026.54,
2024-10-03,,37007.5
2024-10-03,,
2024-10-04,,120
