symbol,name
ALLCAP.BO,S&P BSE ALLCAP
BASMTR.BO,S&P BSE BASIC MATERIALS
BHRT22.BO,S&P BSE Bharat 22 Index
BSE-BANK.BO,S&P BSE BANKEX
BSE-CD.BO,S&P BSE CONS.DURABLES INDEX
BSE-FMCG.BO,S&P BSE FMCG INDEX
BSEDSI.BO,S&P BSE Dividend Stability Inde
BSEEVI.BO,S&P BSE Enhanced Value Index
BSELVI.BO,S&P BSE Low Volatility Index
BSEMOI.BO,S&P BSE Momentum Index
BSEQUI.BO,S&P BSE Quality Index
CDGS.BO,S&P BSE CONSUMER DISCRETIONARY
CPSE.BO,S&P BSE CPSE INDEX
DFRGRI.BO,S&P BSE Diversified Financials
ENERGY.BO,S&P BSE ENERGY
ESG100.BO,S&P BSE 100 ESG Index
FIN.BO,S&P BSE FINANCE
INDSTR.BO,S&P BSE INDUSTRIALS
LCTMCI.BO,S&P BSE 100 LargeCap TMC Index
LMI250.BO,S&P BSE 250 LargeMidCap Index
LRGCAP.BO,S&P BSE LARGECAP
MFG.BO,S&P BSE INDIA MANUFACTURING IND
MID150.BO,S&P BSE 150 MidCap Index
MIDSEL.BO,S&P BSE MIDCAP SELECT INDEX
MSL400.BO,S&P BSE 400 MidSmallCap Index
SML250.BO,S&P BSE 250 SmallCap Index
SMLSEL.BO,S&P BSE SMALLCAP SELECT INDEX
SNSX50.BO,S&P BSE SENSEX 50 Index
SNXT50.BO,S&P BSE SENSEX Next 50 Index
TELCOM.BO,S&P BSE TELECOM
^BSESN,S&P BSE SENSEX
