,high_amount,moving_avg,forcast
<<<<<<< HEAD
2024-05-24,1999.58,,
2024-05-25,1999.58,,
2024-05-26,1999.58,,
2024-05-27,1997.27,,
2024-05-28,1992.4499999999998,,
2024-05-29,1979.58,,
2024-05-30,1961.04,,
2024-05-31,1961.04,,
2024-06-01,1961.04,,
2024-06-02,1961.04,,
2024-06-03,2026.88,,
2024-06-04,5055.86,,
2024-06-05,4784.4,,
2024-06-06,4928.15,,
2024-06-07,4961.72,,
2024-06-08,4961.72,,
2024-06-09,4961.72,,
2024-06-10,4994.93,,
2024-06-11,5139.34,,
2024-06-12,5145.37,,
2024-06-13,8199.27,,
2024-06-14,8143.77,,
2024-06-15,8143.77,,
2024-06-16,8143.77,,
2024-06-17,8143.77,,
2024-06-18,8214.67,,
2024-06-19,8228.539999999999,,
2024-06-20,8275.77,,
2024-06-21,8482.18,,
2024-06-22,8482.18,,
2024-06-23,8482.18,,
2024-06-24,8427.2,,
2024-06-25,8397.68,,
2024-06-26,8348.76,,
2024-06-27,8320.849999999999,,
2024-06-28,8507.4,,
2024-06-29,8507.4,,
2024-06-30,8507.4,,
2024-07-01,8541.91,,
2024-07-02,10555.84,,
2024-07-03,10635.36,,
2024-07-04,10750.07,,
2024-07-05,10763.29,,
2024-07-06,10763.29,,
2024-07-07,10763.29,,
2024-07-08,10721.13,,
2024-07-09,10843.66,,
2024-07-10,10739.58,,
2024-07-11,10772.099999999999,,
2024-07-12,11213.98,,
2024-07-13,11213.98,,
2024-07-14,11213.98,7042.698269230769,
2024-07-15,11124.3,7218.173653846154,
2024-07-16,11107.07,7393.317692307693,
2024-07-17,11107.07,7568.461730769231,
2024-07-18,11060.51,7742.754807692308,
2024-07-19,11007.279999999999,7916.116923076922,
2024-07-20,11007.279999999999,8089.726538461539,
2024-07-21,11007.279999999999,8263.692692307692,
2024-07-22,10894.52,8435.490384615385,
2024-07-23,10848.02,8606.393846153847,
2024-07-24,10905.1,8778.395,
2024-07-25,10794.67,8947.006346153845,
2024-07-26,10851.66,9058.464038461538,
2024-07-27,10851.66,9175.142115384615,
2024-07-28,10851.66,9289.05576923077,
2024-07-29,10937.49,9403.974423076923,
2024-07-30,10955.36,9519.236730769231,
2024-07-31,10955.36,9634.499038461538,
2024-08-01,11081.68,9751.551923076922,
2024-08-02,12945.25,9901.665576923077,
2024-08-03,12945.25,10051.663269230768,
2024-08-04,12945.25,10142.932115384614,
2024-08-05,12516.22,10227.01769230769,
2024-08-06,12484.9,10310.500961538462,
2024-08-07,12463.71,10393.576730769231,
2024-08-08,12491.5,10477.186923076923,
2024-08-09,12524.04,10560.059423076922,
2024-08-10,12524.04,10642.665192307692,
2024-08-11,12524.04,10724.362692307692,
2024-08-12,12650.460000000001,10804.521923076922,
2024-08-13,12560.18,10882.945,
2024-08-14,12501.09,10960.23173076923,
2024-08-15,12501.09,11038.57576923077,
2024-08-16,12719.16,11121.681153846152,
2024-08-17,12719.16,11205.727307692307,
2024-08-18,12719.16,11290.310192307692,
2024-08-19,12769.78,11372.279038461538,
2024-08-20,12918.39,11457.10576923077,
2024-08-21,12832.97,11540.289807692308,
2024-08-22,12868.7,11623.497307692307,
2024-08-23,12844.16,11667.503461538463,
2024-08-24,12844.16,11709.980384615385,
2024-08-25,12844.16,11750.251346153846,
2024-08-26,12873.970000000001,11790.841346153846,
2024-08-27,12995.619999999999,11833.770769230769,
2024-08-28,13034.67,11877.451153846154,
2024-08-29,12908.94,11919.524423076924,
2024-08-30,12995.25,11960.901153846156,
2024-08-31,12995.25,12004.279423076923,
2024-09-01,12995.25,12047.032307692309,
2024-09-02,14869.68,12117.334230769231,
2024-09-03,14824.59,12186.769038461538,
2024-09-04,14766.6,12255.088653846153,
2024-09-05,14781.57,12325.42076923077,
2024-09-06,14650.82,12393.569807692307,
2024-09-07,14650.82,12461.718846153846,
2024-09-08,14650.82,12530.763269230769,
2024-09-09,14630.98,12600.449807692308,
2024-09-10,14719.02,12671.829423076922,
2024-09-11,14716.98,12743.16980769231,
2024-09-12,14937.18,12820.913269230768,
2024-09-13,15047.04,12901.663653846153,
2024-09-14,15047.04,12981.316346153846,
2024-09-15,15047.04,13063.092692307691,
2024-09-16,50266.67,13821.073653846155,
2024-09-17,53674.09,14644.581923076923,
2024-09-18,55105.48,15495.616923076923,
2024-09-19,52271.95,16290.510384615385,
2024-09-20,50578.310000000005,17052.49019230769,
2024-09-21,50578.310000000005,17814.47,
2024-09-22,50578.310000000005,18574.020576923074,
2024-09-23,50374.76,19293.818846153845,
2024-09-24,49496.369999999995,19996.725,
2024-09-25,48923.46,20688.61365384615,
2024-09-26,49661.16,21402.939423076925,
2024-09-27,49163.36,22108.294423076924,
2024-09-28,49163.36,22814.05692307692,
2024-09-29,49163.36,23519.284999999996,
2024-09-30,49163.36,24223.887307692312,
2024-10-01,48270.86,24911.326153846152,
2024-10-02,48270.86,25598.765,
2024-10-03,49110.71,26299.923653846156,
2024-10-04,49304.78,27006.550576923073,
2024-10-05,49304.78,27714.313846153847,
2024-10-06,49304.78,28422.077115384614,
2024-10-07,48641.009999999995,29112.881923076926,
2024-10-08,48390.369999999995,29798.866730769227,
2024-10-09,50640.38,30528.12096153846,
2024-10-10,,,50963.93537345733
2024-10-11,,,50970.64407776657
2024-10-12,,,51004.75209393527
2024-10-13,,,51100.968097015946
2024-10-14,,,53165.023979318554
2024-10-15,,,53315.471678783106
2024-10-16,,,53490.57844559153
2024-10-17,,,53564.80159041194
2024-10-18,,,53624.789276570016
2024-10-19,,,53666.57724383454
2024-10-20,,,53649.519763016404
2024-10-21,,,53826.96569318532
2024-10-22,,,53811.188001851035
2024-10-23,,,53934.810526079425
2024-10-24,,,54476.3354297073
2024-10-25,,,54561.248538501364
2024-10-26,,,54653.51273947537
2024-10-27,,,54630.944475612494
2024-10-28,,,54731.8792864138
2024-10-29,,,54827.40643970376
2024-10-30,,,54877.59578780436
2024-10-31,,,54922.05623366262
2024-11-01,,,55019.81777928141
2024-11-02,,,55114.262646781805
2024-11-03,,,55095.8999610536
2024-11-04,,,55139.51163282496
2024-11-05,,,55287.31898831376
2024-11-06,,,55271.08032904429
2024-11-07,,,55608.80335775813
2024-11-08,,,55527.436996232434
2024-11-09,,,55630.29068425271
2024-11-10,,,55825.430416531985
2024-11-11,,,55983.591099459765
2024-11-12,,,56127.43308850547
2024-11-13,,,56386.57277336879
2024-11-14,,,58364.70615130533
2024-11-15,,,58511.74715719146
2024-11-16,,,58662.38438416108
2024-11-17,,,58362.25855848022
2024-11-18,,,58453.47719869266
2024-11-19,,,58553.889140564
2024-11-20,,,58687.1433736269
2024-11-21,,,58826.700156489766
2024-11-22,,,59779.991128581445
2024-11-23,,,59845.77361926984
2024-11-24,,,60056.04639568954
2024-11-25,,,60054.69751237044
2024-11-26,,,60055.63761440308
2024-11-27,,,60003.61329327442
2024-11-28,,,59973.436641352884
2024-11-29,,,59928.39581092663
2024-11-30,,,59905.64971066426
2024-12-01,,,60095.536249454955
2024-12-02,,,60102.2449537642
2024-12-03,,,60136.3529699329
2024-12-04,,,60232.56897301357
2024-12-05,,,62296.62485531618
2024-12-06,,,62447.07255478074
2024-12-07,,,62622.17932158916
2024-12-08,,,62696.40246640956
2024-12-09,,,62756.39015256765
2024-12-10,,,62798.17811983216
2024-12-11,,,62781.12063901403
2024-12-12,,,62958.56656918295
2024-12-13,,,62942.78887784867
2024-12-14,,,63066.41140207706
2024-12-15,,,63607.93630570493
2024-12-16,,,63692.849414498996
2024-12-17,,,63785.113615473
2024-12-18,,,63762.54535161012
2024-12-19,,,63863.48016241143
2024-12-20,,,63959.00731570139
2024-12-21,,,64009.19666380199
2024-12-22,,,64053.65710966025
2024-12-23,,,64151.41865527904
2024-12-24,,,64245.86352277943
2024-12-25,,,64227.50083705122
2024-12-26,,,64271.11250882259
2024-12-27,,,64418.91986431139
2024-12-28,,,64402.68120504192
2024-12-29,,,64740.40423375576
2024-12-30,,,64659.03787223007
2024-12-31,,,64761.89156025033
2025-01-01,,,64957.03129252961
2025-01-02,,,65115.1919754574
2025-01-03,,,65259.033964503105
2025-01-04,,,65518.17364936642
2025-01-05,,,67496.30702730297
2025-01-06,,,67643.34803318909
2025-01-07,,,67793.9852601587
