security_code,security_name,company_name,ex_date,purpose,record_date,bc_start_date,_bc_end_date,nd_start_date,nd_end_date,actual_payment_date
539982,ASYL,Advance Syntex Ltd,04 Jan 2017,bonus issue 3:20,05 Jan 2017,-,-,29 Dec 2016,04 Jan 2017,-
500228,JSWSTEEL,JSW STEEL LTD.,04 Jan 2017,stock  split from rs.10/- to rs.1/-,05 Jan 2017,-,-,29 Dec 2016,04 Jan 2017,-
530759,STERTOOLS,STERLING TOOLS LTD.-$,09 Jan 2017,stock  split from rs.10/- to rs.2/-,10 Jan 2017,-,-,03 Jan 2017,09 Jan 2017,-
531723,STAMPEDE,Stampede Capital Limited,10 Jan 2017,bonus issue 1:4,11 Jan 2017,-,-,09 Jan 2017,10 Jan 2017,-
533106,OIL,OIL INDIA LTD.,12 Jan 2017,bonus issue 1:3,13 Jan 2017,-,-,06 Jan 2017,12 Jan 2017,-
524764,NUTRA,Nutraplus India Limited,19 Jan 2017,bonus issue 1:10,20 Jan 2017,-,-,13 Jan 2017,19 Jan 2017,-
511736,USHDI,USHDEV INTERNATIONAL LTD.,30 Jan 2017,stock  split from rs.10/- to rs.1/-,31 Jan 2017,-,-,23 Jan 2017,30 Jan 2017,-
530201,KALLAM,Kallam Textiles Ltd-$,02 Feb 2017,stock  split from rs.10/- to rs.2/-,03 Feb 2017,-,-,27 Jan 2017,02 Feb 2017,-
539788,KDML,Khemani Distributors & Marketing Ltd,02 Feb 2017,stock  split from rs.10/- to rs.5/-,03 Feb 2017,-,-,27 Jan 2017,02 Feb 2017,-
539223,AMBITION,Ambition Mica Ltd,03 Feb 2017,bonus issue 1:2,06 Feb 2017,-,-,30 Jan 2017,03 Feb 2017,-
532783,DAAWAT,LT FOODS LTD.,07 Feb 2017,stock  split from rs.10/- to rs.1/-,08 Feb 2017,-,-,01 Feb 2017,07 Feb 2017,-
532767,GAYAPROJ,GAYATRI PROJECTS LTD.,10 Feb 2017,stock  split from rs.10/- to rs.2/-,13 Feb 2017,-,-,06 Feb 2017,10 Feb 2017,-
531109,ISHANCH,ISHAN DYES & CHEMICALS LTD.,14 Feb 2017,bonus issue 1:2,15 Feb 2017,-,-,08 Feb 2017,14 Feb 2017,-
512626,ORBTEXP,ORBIT EXPORTS LTD.,14 Feb 2017,bonus issue 1:1,15 Feb 2017,-,-,09 Feb 2017,14 Feb 2017,-
532456,COMPUAGE,COMPUAGE INFOCOM LTD.,16 Feb 2017,stock  split from rs.10/- to rs.2/-,17 Feb 2017,-,-,10 Feb 2017,16 Feb 2017,-
538608, DWITIYA,Dwitiya Trading Ltd,17 Feb 2017,stock  split from rs.10/- to rs.2/-,20 Feb 2017,-,-,13 Feb 2017,16 Feb 2017,-
534309,NBCC,NBCC (India) Ltd,17 Feb 2017,bonus issue 1:2,21 Feb 2017,-,-,14 Feb 2017,17 Feb 2017,-
524764,NUTRA,Nutraplus India Limited,27 Feb 2017,stock  split from rs.10/- to rs.5/-,28 Feb 2017,-,-,17 Feb 2017,27 Feb 2017,-
539017,ASHFL,Akme Star Housing Finance Ltd,07 Mar 2017,bonus issue 1:1,08 Mar 2017,-,-,01 Mar 2017,07 Mar 2017,-
539428,TEJNAKSH,Tejnaksh Healthcare Ltd,08 Mar 2017,bonus issue 1:1,09 Mar 2017,-,-,02 Mar 2017,08 Mar 2017,-
