company,bonus_ratio,ex_bonus_date,announcement_date,record_date,old,new,bse,isin,nse,sector
Castrol,1:1,07-11-2017,23-12-2017,21-12-2017,1,1,500870,INE172A01027,CASTROLIND,LUBRICANTS
Vakrangee,1:1,13-11-2017,23-12-2017,21-12-2017,1,1,511431,INE051B01021,VAKRANGEE,COMPUTERS - SOFTWARE MEDIUM & SMALL
Balkrishna Ind,1:1,08-11-2017,23-12-2017,21-12-2017,1,1,502355,INE787D01026,BALKRISIND,TYRES
M&M,1:1,10-11-2017,23-12-2017,21-12-2017,1,1,500520,INE101A01026,M&M,AUTO - CARS & JEEPS
Sri Krishna Con,1:10,30-08-2017,07-12-2017,06-12-2017,1,10,539363,INE094T01015,,MISCELLANEOUS
Money Masters,1:4,27-09-2017,14-11-2017,13-11-2017,1,4,535910,INE340O01013,,FINANCE - INVESTMENTS
Gala Print City,1:20,12-06-2017,13-11-2017,10-11-2017,1,20,539228,INE480S01026,,PRINTING & STATIONERY
Infinite Comp,1:26,14-09-2017,02-11-2017,01-11-2017,1,26,533154,INE486J01014,INFINITE,COMPUTERS - SOFTWARE
Arfin India,2:1,10-09-2017,02-11-2017,01-11-2017,2,1,539151,INE784R01015,,METALS - NON FERROUS
BAMPSL Sec,3:20,22-08-2017,27-10-2017,26-10-2017,3,20,531591,INE802A01037,,FINANCE - INVESTMENTS
Autoriders Intl,1:1,14-08-2017,31-10-2017,19-10-2017,1,1,512277,INE340U01010,,TRANSPORT & LOGISTICS
Shaival Reality,5:1,05-09-2017,18-10-2017,17-10-2017,5,1,0,INE262S01010,SHAIVAL,CONSTRUCTION & CONTRACTING - CIVIL
Kallam Spinning,1:4,26-08-2017,13-10-2017,12-10-2017,1,4,530201,INE629F01025,,TEXTILES - SPINNING - COTTON BLENDED
Talbros Eng,1:1,17-08-2017,14-10-2017,12-10-2017,1,1,538987,INE717E01013,,AUTO ANCILLARIES
Alexander Stamp,1:5,14-08-2017,12-10-2017,11-10-2017,1,5,511463,INE191N01012,,FINANCE - INVESTMENTS
Kwality Pharmac,1:1,05-09-2017,12-10-2017,11-10-2017,1,1,539997,INE552U01010,,PHARMACEUTICALS
Majestic Resear,1:1,29-08-2017,11-10-2017,10-10-2017,1,1,539229,INE196R01012,,MISCELLANEOUS
Shivalik Bimeta,1:1,23-08-2017,06-10-2017,05-10-2017,1,1,513097,INE386D01027,,STEEL - MEDIUM & SMALL
Panama Petro,1:2,14-08-2017,04-10-2017,03-10-2017,1,2,524820,INE305C01029,PANAMAPET,CHEMICALS
BHEL,1:2,10-08-2017,30-09-2017,28-09-2017,1,2,500103,INE257A01026,BHEL,INFRASTRUCTURE - GENERAL
Bharat Elec,1:10,10-08-2017,29-09-2017,28-09-2017,1,10,500049,INE263A01024,BEL,ELECTRICALS
Bharat Forge,1:1,10-08-2017,30-09-2017,28-09-2017,1,1,500493,INE465A01025,BHARATFORG,CASTINGS & FORGINGS
Manpasand Bever,1:1,10-08-2017,28-09-2017,27-09-2017,1,1,539207,INE122R01018,MANPASAND,FOOD PROCESSING
Loyal Equip,1:2,01-08-2017,28-09-2017,27-09-2017,1,2,539227,INE876S01017,,ENGINEERING
MOIL,1:1,10-08-2017,28-09-2017,27-09-2017,1,1,533286,INE490G01020,MOIL,MINING & MINERALS
Tata Elxsi,1:1,27-07-2017,19-09-2017,18-09-2017,1,1,500408,INE670A01012,TATAELXSI,COMPUTERS - SOFTWARE
Reliance,1:1,21-07-2017,09-09-2017,07-09-2017,1,1,500325,INE002A01018,RELIANCE,REFINERIES
Mangalam Seeds,1:1,30-05-2017,31-08-2017,30-08-2017,1,1,539275,INE829S01016,,MISCELLANEOUS
